application_id,income,loan_amount,loan_duration_months,existing_debt,credit_score,collateral_value,DTI,__label
app_edd5d710,4001.23,13792.47,32,43.76,668,16550.97,1.2,1
app_1531389b,1508.35,18360.86,52,703.12,556,12852.6,1.2,0
app_4f60dd11,4489.84,14141.32,37,27.81,697,16969.59,1.028,1
app_8c0d1067,3195.3,9934.71,30,139.51,509,6954.3,1.2,0
app_e423f9a3,2158.26,10589.45,20,508.51,710,12707.34,1.2,1
app_784e532c,2313.07,2899.44,29,880.6,607,3000.0,0.899,0
app_7e7d8ff5,2469.86,9133.48,24,76.47,774,10960.18,1.2,1
app_54441cc5,3192.47,11804.87,46,166.56,692,14165.84,1.017,1
app_79b8b722,2610.46,18382.69,21,930.46,695,12867.88,1.2,0
app_77cee7e5,2452.86,17156.3,37,143.41,840,20587.56,1.2,1
app_47dbb6ca,3262.26,10804.27,36,1130.68,586,7562.99,1.2,0
app_3122ea83,4682.91,11600.9,44,975.41,652,13921.08,0.884,1
app_e916428d,4203.14,9220.15,37,0.0,659,11064.19,0.711,1
app_207eeba4,2303.8,23392.58,49,370.59,544,16374.81,1.2,0
app_1f4a4ba6,4646.9,1000.0,30,361.09,787,3000.0,0.164,1
app_8208825c,3189.4,16036.72,31,799.92,706,11225.7,1.2,0
app_3987bc86,3571.98,10177.92,40,351.69,686,12213.5,0.953,1
app_af4796ad,2885.93,11930.87,30,866.45,745,14317.05,1.2,1
app_0a3217bc,2475.86,22010.29,31,1320.85,599,15407.2,1.2,0
app_a1ff8150,4583.38,4254.64,40,0.0,557,5105.57,0.278,1
app_34eaf1b6,2195.52,12600.43,37,1797.9,541,8820.3,1.2,0
app_60f0ff53,3376.06,13232.42,41,329.44,685,15878.91,1.2,1
app_eb96eb1b,4702.46,15119.45,23,368.33,702,18143.33,1.2,1
app_bb345c71,1500.0,19559.03,25,1288.83,613,13691.32,1.2,0
app_d1a505f7,4089.31,8453.83,34,0.0,620,10144.6,0.73,1
app_1b033e98,2862.84,5228.6,46,201.56,652,3660.02,0.547,0
app_751fbd1d,3154.5,16673.95,37,0.0,787,20008.74,1.2,1
app_ab075ab8,5441.71,11605.17,32,336.05,631,13926.2,0.861,1
app_cc51b728,3598.59,14742.65,35,582.68,556,10319.85,1.2,0
app_68055a65,2722.27,19542.42,34,786.37,700,23450.9,1.2,1
app_be808cf2,1805.6,16039.89,29,903.18,573,11227.92,1.2,0
app_3449dc07,3700.08,3728.55,26,1061.62,653,4474.26,0.752,1
app_da939bed,2945.91,14023.96,52,0.0,685,16828.75,1.099,1
app_ef289111,1867.95,7433.88,44,890.62,605,5203.72,1.2,0
app_d712e98f,3247.69,14728.7,29,342.84,622,17674.45,1.2,1
app_d7d9444a,1500.0,26013.19,29,1016.67,597,18209.23,1.2,0
app_31247262,3558.85,8952.23,43,279.25,689,10742.68,0.78,1
app_69bdbf91,4022.22,19059.05,44,553.04,660,22870.86,1.2,1
