application_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,collateral_type,co_loaners,credit_score,existing_debt,assets_owned,monthly_income,monthly_bills,DTI,LTV,CCR,ITI,CWI,monthly_ndi,ndi_ratio,created_at,session_user_email
APP_0001,34,145872,11,32049,72,25249,car,0,646,1180,189047,3560,1667,0.0080892837556213,1.269317596736454,0.7878248931323665,0.0030514766370092,0.0,1893,0.5317415730335585,2025-10-22 14:48:34,dzoan nguyen
APP_0002,25,132196,2,96505,60,192191,car,0,746,47189,205677,11011,3796,0.3569623891797002,0.5021306929044519,1.9915133930884203,0.0121669087312766,0.6375804033879164,7215,0.6552538370719594,2025-10-22 14:48:34,dzoan nguyen
APP_0003,50,129212,23,64219,36,54991,car,0,503,25671,172273,3942,1245,0.1986734978175386,1.167809277881814,0.8563042090346961,0.013805692281379,0.0,2697,0.6841704718415311,2025-10-22 14:48:34,dzoan nguyen
APP_0004,50,82849,5,79290,24,133283,land,0,578,20102,207950,11692,4378,0.2426341899117642,0.5948995745894031,1.6809559843611843,0.0398767637492583,0.5157327807301556,7314,0.6255559356824645,2025-10-22 14:48:34,dzoan nguyen
APP_0005,26,123017,11,48770,60,137309,deposit,0,325,46497,186722,3510,2728,0.3779721501906209,0.3551842923624791,2.8154398195611483,0.006607487853872,1.1292541274199654,782,0.2227920227919593,2025-10-22 14:48:34,dzoan nguyen
APP_0006,33,73136,29,87346,24,103137,deposit,0,705,11234,31480,7278,4396,0.1536042441478867,0.8468929676061855,1.180786756119328,0.0497623149545364,0.1530171430936881,2882,0.3959879087660901,2025-10-22 14:48:34,dzoan nguyen
APP_0007,31,110770,17,12046,24,177653,land,1,569,20143,227872,9788,4236,0.1818452649634361,0.0678063415759932,14.747883114725656,0.0045311606630472,2.2880359668319747,5552,0.5672251736820016,2025-10-22 14:48:34,dzoan nguyen
APP_0008,50,104945,13,15839,72,29252,house,1,552,42333,139583,2320,5959,0.4033827242841449,0.5414672501025386,1.8468337647577595,0.0020962038316075,0.5052356537140338,0,0.0,2025-10-22 14:48:34,dzoan nguyen
APP_0009,53,56224,16,53176,36,52934,deposit,0,592,31601,24920,2200,3136,0.5620553500284476,1.0045717308346054,0.9954490747705546,0.0262718965400906,0.0,0,0.0,2025-10-22 14:48:34,dzoan nguyen
APP_0010,52,58307,23,74579,12,56467,land,0,418,19959,128620,10422,2312,0.3423088136930327,1.3207537145589223,0.7571434317971445,0.1065895461290865,0.0,8110,0.7781615812703149,2025-10-22 14:48:34,dzoan nguyen
APP_0011,62,32641,7,81875,36,33999,land,0,628,12791,136202,2134,3349,0.3918691216568,2.408159063501797,0.4152549618320559,0.0696763443366413,0.0,0,0.0,2025-10-22 14:48:34,dzoan nguyen
APP_0012,54,42471,19,46808,36,64596,land,0,709,1755,35146,7945,1311,0.0413223140495858,0.7246269118830776,1.3800205093146176,0.0306143538458259,0.3643171824834706,6634,0.8349905601005871,2025-10-22 14:48:34,dzoan nguyen
APP_0013,35,79202,26,66718,72,68035,deposit,0,492,4252,298865,11351,1025,0.0536855129920954,0.9806423164547514,1.0197398003537124,0.0116996905239262,0.0186800590453899,10326,0.9096995859394846,2025-10-22 14:48:34,dzoan nguyen
APP_0014,25,84734,17,57544,60,154842,deposit,0,372,8097,74486,7954,3307,0.0955578634314431,0.371630436186562,2.6908452662310114,0.0113185576822842,1.529271705196828,4647,0.5842343474980407,2025-10-22 14:48:34,dzoan nguyen
APP_0015,48,45640,13,96344,24,65912,land,0,512,39330,105890,6550,5022,0.8617440841367033,1.4617065177812618,0.6841318608320115,0.0879564709282642,0.0,1528,0.2332824427480559,2025-10-22 14:48:34,dzoan nguyen
APP_0016,61,77111,4,67139,12,176328,land,0,409,31962,137879,5881,3386,0.4144933926417707,0.3807619890204597,2.6263125754032286,0.0725566607384206,0.9522167585283808,2495,0.4242475769426246,2025-10-22 14:48:34,dzoan nguyen
APP_0017,63,100522,7,44600,48,156353,land,0,505,21673,251426,8200,4778,0.2156045442788621,0.2852519619067093,3.505672645739832,0.0092434160347714,1.681935339197928,3422,0.4173170731706808,2025-10-22 14:48:34,dzoan nguyen
APP_0018,31,54071,28,97132,12,181115,car,0,644,39145,225442,7504,1396,0.723955539938216,0.5363001407945199,1.8646275171930788,0.1496982362571185,0.2386756361381286,6108,0.8139658848612987,2025-10-22 14:48:34,dzoan nguyen
APP_0019,31,67279,16,15189,24,28203,car,1,362,8039,233579,6768,2916,0.1194875072459442,0.5385597276885247,1.856804266245187,0.009406724237483,0.7544268602739483,3852,0.5691489361701286,2025-10-22 14:48:34,dzoan nguyen
APP_0020,22,70938,9,98534,12,197037,land,0,710,10546,78748,3112,3833,0.1486650314358996,0.500078665428318,1.9996853877849063,0.1157513133437972,0.8510671281838669,0,0.0,2025-10-22 14:48:34,dzoan nguyen
APP_0021,27,88131,12,19631,12,125880,house,0,423,19636,255176,8458,2346,0.2228046884751083,0.1559501112170308,6.412307065355488,0.0185623295608846,1.9679748487656896,6112,0.7226294632299926,2025-10-22 14:48:34,dzoan nguyen
