application_id,score,decision,top_feature,shap,explanation
APP_0001,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0002,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0003,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0004,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0005,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0006,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0007,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0008,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0009,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0010,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0011,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0012,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0013,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0014,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0015,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0016,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0017,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0018,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0019,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0020,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0021,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0022,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0023,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0024,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0025,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0026,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0027,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0028,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0029,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0030,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0031,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0032,0.4,deny,age,0.0,age decreased approval likelihood most
APP_0033,0.4,deny,age,0.0,age decreased approval likelihood most
