application_id,ai_decision,human_decision,human_rule_reasons
APP_0001,denied,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0002,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0003,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0004,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0005,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0006,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0007,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0008,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0009,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0010,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0011,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0012,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0013,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0014,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0015,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0016,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0017,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0018,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0019,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0020,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0021,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0022,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0023,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0024,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0025,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0026,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0027,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0028,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0029,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0030,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0031,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0032,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0033,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0034,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0035,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0036,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0037,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0038,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0039,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0040,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0041,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0042,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0043,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0044,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0045,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0046,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0047,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0048,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0049,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0050,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0051,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0052,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0053,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0054,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0055,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0056,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0057,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0058,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0059,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0060,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0061,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0062,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0063,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0064,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0065,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0066,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0067,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0068,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0069,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0070,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0071,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0072,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0073,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0074,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0075,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
