application_id,decision,top_feature,explanation,proposed_loan_option,proposed_consolidation_loan,rule_reasons
APP_0001,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0002,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0003,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0004,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0005,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0006,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0007,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0008,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0009,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0010,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0011,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0012,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0013,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0014,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0015,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0016,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0017,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0018,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0019,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0020,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0021,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0022,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0023,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0024,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0025,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0026,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0027,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0028,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0029,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0030,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0031,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0032,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0033,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0034,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0035,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0036,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0037,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0038,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0039,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0040,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0041,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0042,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0043,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0044,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0045,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0046,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0047,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0048,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0049,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0050,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0051,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0052,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0053,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0054,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0055,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0056,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0057,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0058,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0059,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0060,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0061,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0062,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0063,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0064,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0065,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0066,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0067,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0068,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0069,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0070,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0071,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0072,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0073,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0074,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0075,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0076,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0077,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0078,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0079,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0080,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0081,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0082,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0083,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0084,approved,credit_score,Decision driven mainly by credit_score.,,,
