application_id,decision,top_feature,explanation,proposed_loan_option,proposed_consolidation_loan,rule_reasons
APP_0001,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0002,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0003,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0004,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0005,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0006,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0007,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0008,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0009,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0010,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0011,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0012,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0013,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0014,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0015,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0016,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0017,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0018,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0019,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0020,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0021,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0022,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0023,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0024,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0025,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0026,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0027,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0028,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0029,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0030,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0031,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0032,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0033,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0034,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0035,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0036,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0037,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0038,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0039,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0040,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0041,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0042,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0043,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0044,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0045,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0046,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0047,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0048,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0049,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0050,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0051,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0052,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0053,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0054,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0055,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0056,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0057,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0058,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0059,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0060,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0061,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0062,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0063,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0064,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0065,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0066,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0067,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0068,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0069,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0070,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0071,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0072,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0073,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0074,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0075,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0076,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0077,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0078,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0079,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0080,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0081,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0082,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0083,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0084,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0085,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0086,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0087,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0088,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0089,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0090,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0091,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0092,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0093,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0094,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0095,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0096,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0097,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0098,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0099,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0100,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0101,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0102,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0103,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0104,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0105,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0106,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0107,approved,credit_score,Decision driven mainly by credit_score.,,,
