application_id,top_feature,explanation,rule_reasons
APP_0001,credit_score_vs_dti,Score=0.000 with DTI=0.08 and CS=538,"{""max_dti_ok"": true, ""min_emp_years_ok"": true, ""min_credit_hist_ok"": false, ""salary_floor_ok"": true, ""max_delinquencies_ok"": true, ""max_current_loans_ok"": true, ""req_range_ok"": true, ""term_allowed_ok"": false, ""income_debt_ratio_ok"": true, ""credit_score_soft_ok"": false}"
APP_0002,credit_score_vs_dti,Score=0.000 with DTI=0.98 and CS=383,"{""max_dti_ok"": false, ""min_emp_years_ok"": true, ""min_credit_hist_ok"": false, ""salary_floor_ok"": true, ""max_delinquencies_ok"": true, ""max_current_loans_ok"": true, ""req_range_ok"": true, ""term_allowed_ok"": true, ""income_debt_ratio_ok"": true, ""credit_score_soft_ok"": false}"
APP_0003,credit_score_vs_dti,Score=1.000 with DTI=0.08 and CS=733,"{""max_dti_ok"": true, ""min_emp_years_ok"": true, ""min_credit_hist_ok"": false, ""salary_floor_ok"": true, ""max_delinquencies_ok"": true, ""max_current_loans_ok"": true, ""req_range_ok"": true, ""term_allowed_ok"": true, ""income_debt_ratio_ok"": true, ""credit_score_soft_ok"": true}"
APP_0004,credit_score_vs_dti,Score=1.000 with DTI=0.26 and CS=647,"{""max_dti_ok"": true, ""min_emp_years_ok"": true, ""min_credit_hist_ok"": false, ""salary_floor_ok"": false, ""max_delinquencies_ok"": true, ""max_current_loans_ok"": true, ""req_range_ok"": true, ""term_allowed_ok"": true, ""income_debt_ratio_ok"": false, ""credit_score_soft_ok"": true}"
APP_0005,credit_score_vs_dti,Score=0.000 with DTI=0.75 and CS=573,"{""max_dti_ok"": false, ""min_emp_years_ok"": true, ""min_credit_hist_ok"": false, ""salary_floor_ok"": true, ""max_delinquencies_ok"": true, ""max_current_loans_ok"": true, ""req_range_ok"": true, ""term_allowed_ok"": true, ""income_debt_ratio_ok"": true, ""credit_score_soft_ok"": true}"
APP_0006,credit_score_vs_dti,Score=0.000 with DTI=0.72 and CS=516,"{""max_dti_ok"": false, ""min_emp_years_ok"": true, ""min_credit_hist_ok"": false, ""salary_floor_ok"": true, ""max_delinquencies_ok"": true, ""max_current_loans_ok"": true, ""req_range_ok"": true, ""term_allowed_ok"": true, ""income_debt_ratio_ok"": true, ""credit_score_soft_ok"": false}"
APP_0007,credit_score_vs_dti,Score=0.000 with DTI=0.50 and CS=384,"{""max_dti_ok"": false, ""min_emp_years_ok"": true, ""min_credit_hist_ok"": false, ""salary_floor_ok"": true, ""max_delinquencies_ok"": true, ""max_current_loans_ok"": true, ""req_range_ok"": true, ""term_allowed_ok"": true, ""income_debt_ratio_ok"": true, ""credit_score_soft_ok"": false}"
APP_0008,credit_score_vs_dti,Score=1.000 with DTI=0.14 and CS=807,"{""max_dti_ok"": true, ""min_emp_years_ok"": true, ""min_credit_hist_ok"": false, ""salary_floor_ok"": true, ""max_delinquencies_ok"": true, ""max_current_loans_ok"": true, ""req_range_ok"": true, ""term_allowed_ok"": true, ""income_debt_ratio_ok"": true, ""credit_score_soft_ok"": true}"
APP_0009,credit_score_vs_dti,Score=1.000 with DTI=0.21 and CS=656,"{""max_dti_ok"": true, ""min_emp_years_ok"": true, ""min_credit_hist_ok"": false, ""salary_floor_ok"": false, ""max_delinquencies_ok"": true, ""max_current_loans_ok"": true, ""req_range_ok"": true, ""term_allowed_ok"": true, ""income_debt_ratio_ok"": false, ""credit_score_soft_ok"": true}"
APP_0010,credit_score_vs_dti,Score=0.000 with DTI=0.18 and CS=475,"{""max_dti_ok"": true, ""min_emp_years_ok"": true, ""min_credit_hist_ok"": false, ""salary_floor_ok"": true, ""max_delinquencies_ok"": true, ""max_current_loans_ok"": true, ""req_range_ok"": true, ""term_allowed_ok"": false, ""income_debt_ratio_ok"": true, ""credit_score_soft_ok"": false}"
