application_id,top_feature,explanation,rule_reasons
APP_0001,credit_score_vs_dti,Score=0.000 with DTI=0.62 and CS=331,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0002,credit_score_vs_dti,Score=0.000 with DTI=0.02 and CS=557,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0003,credit_score_vs_dti,Score=0.000 with DTI=0.23 and CS=550,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0004,credit_score_vs_dti,Score=0.000 with DTI=0.20 and CS=442,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0005,credit_score_vs_dti,Score=0.000 with DTI=0.49 and CS=370,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0006,credit_score_vs_dti,Score=0.000 with DTI=0.11 and CS=324,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0007,credit_score_vs_dti,Score=0.000 with DTI=0.18 and CS=304,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0008,credit_score_vs_dti,Score=0.000 with DTI=0.05 and CS=564,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0009,credit_score_vs_dti,Score=0.000 with DTI=0.68 and CS=349,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0010,credit_score_vs_dti,Score=1.000 with DTI=0.26 and CS=827,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0011,credit_score_vs_dti,Score=0.000 with DTI=0.43 and CS=434,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0012,credit_score_vs_dti,Score=1.000 with DTI=0.17 and CS=658,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0013,credit_score_vs_dti,Score=1.000 with DTI=0.06 and CS=670,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0014,credit_score_vs_dti,Score=0.000 with DTI=0.57 and CS=572,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0015,credit_score_vs_dti,Score=1.000 with DTI=0.28 and CS=785,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0016,credit_score_vs_dti,Score=0.000 with DTI=0.27 and CS=360,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0017,credit_score_vs_dti,Score=0.000 with DTI=0.59 and CS=428,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0018,credit_score_vs_dti,Score=0.000 with DTI=0.98 and CS=438,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0019,credit_score_vs_dti,Score=0.000 with DTI=0.44 and CS=374,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0020,credit_score_vs_dti,Score=0.000 with DTI=0.17 and CS=462,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0021,credit_score_vs_dti,Score=0.000 with DTI=0.37 and CS=471,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0022,credit_score_vs_dti,Score=1.000 with DTI=0.40 and CS=720,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0023,credit_score_vs_dti,Score=0.000 with DTI=0.29 and CS=465,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0024,credit_score_vs_dti,Score=1.000 with DTI=0.60 and CS=782,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0025,credit_score_vs_dti,Score=1.000 with DTI=0.03 and CS=724,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0026,credit_score_vs_dti,Score=1.000 with DTI=0.37 and CS=795,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0027,credit_score_vs_dti,Score=0.000 with DTI=0.24 and CS=357,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0028,credit_score_vs_dti,Score=1.000 with DTI=0.49 and CS=841,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0029,credit_score_vs_dti,Score=1.000 with DTI=0.28 and CS=637,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0030,credit_score_vs_dti,Score=1.000 with DTI=0.36 and CS=840,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0031,credit_score_vs_dti,Score=0.000 with DTI=0.34 and CS=495,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0032,credit_score_vs_dti,Score=1.000 with DTI=0.07 and CS=824,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0033,credit_score_vs_dti,Score=0.000 with DTI=0.17 and CS=623,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0034,credit_score_vs_dti,Score=0.000 with DTI=0.28 and CS=339,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0035,credit_score_vs_dti,Score=0.000 with DTI=0.57 and CS=525,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0036,credit_score_vs_dti,Score=0.000 with DTI=0.37 and CS=375,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0037,credit_score_vs_dti,Score=1.000 with DTI=0.27 and CS=817,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0038,credit_score_vs_dti,Score=0.000 with DTI=0.03 and CS=467,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0039,credit_score_vs_dti,Score=0.000 with DTI=0.78 and CS=422,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0040,credit_score_vs_dti,Score=0.000 with DTI=0.22 and CS=604,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0041,credit_score_vs_dti,Score=0.000 with DTI=0.34 and CS=533,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0042,credit_score_vs_dti,Score=0.000 with DTI=0.46 and CS=353,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0043,credit_score_vs_dti,Score=1.000 with DTI=1.01 and CS=749,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0044,credit_score_vs_dti,Score=1.000 with DTI=0.35 and CS=765,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0045,credit_score_vs_dti,Score=1.000 with DTI=0.13 and CS=708,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0046,credit_score_vs_dti,Score=0.986 with DTI=1.39 and CS=639,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0047,credit_score_vs_dti,Score=0.000 with DTI=0.19 and CS=521,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0048,credit_score_vs_dti,Score=0.000 with DTI=0.35 and CS=598,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0049,credit_score_vs_dti,Score=0.000 with DTI=0.30 and CS=586,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0050,credit_score_vs_dti,Score=0.000 with DTI=1.09 and CS=390,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0051,credit_score_vs_dti,Score=0.000 with DTI=0.18 and CS=344,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0052,credit_score_vs_dti,Score=0.000 with DTI=0.17 and CS=439,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0053,credit_score_vs_dti,Score=0.000 with DTI=0.37 and CS=549,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0054,credit_score_vs_dti,Score=0.000 with DTI=0.72 and CS=388,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0055,credit_score_vs_dti,Score=0.000 with DTI=0.33 and CS=358,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0056,credit_score_vs_dti,Score=1.000 with DTI=0.43 and CS=768,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
