application_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,collateral_type,co_loaners,credit_score,existing_debt,assets_owned,DTI,LTV,CCR,ITI,CWI,session_flagged,created_at,employment_years,debt_to_income,credit_history_length,num_delinquencies,current_loans,requested_amount,loan_term_months,score,decision,top_feature,explanation,rule_reasons,proposed_loan_option,proposed_consolidation_loan
APP_0001,54,79212,9,56765,72,106895,car,0,538,6715,117600,0.0847725092157743,0.5310351279292714,1.883114595261132,0.009953072486073,0.808250755095797,False,:47:29,9,0.0847725092157743,20,0,3,56765,72,3.2118246616309726e-30,denied,credit_score_vs_dti,Score=0.000 with DTI=0.08 and CS=538,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 6715.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 208.91, ""secured_by"": ""collateral""}"
APP_0002,63,42987,15,15505,48,146373,deposit,0,383,41958,216054,0.976062530532464,0.1059280058480723,9.440374072879107,0.0075143841935142,0.0642054631853725,False,:47:29,15,0.976062530532464,6,0,0,15505,48,1.8539803143115726e-90,denied,credit_score_vs_dti,Score=0.000 with DTI=0.98 and CS=383,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,
APP_0003,32,141796,29,42138,60,62668,house,0,733,11726,144601,0.0826962678777956,0.6724005872215378,1.487208695239416,0.0049528900673382,0.4469183544655423,False,:47:29,29,0.0826962678777956,23,0,0,42138,60,1.0,approved,credit_score_vs_dti,Score=1.000 with DTI=0.08 and CS=733,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 42138.0, ""term_months"": 60, ""apr"": 0.1, ""est_monthly"": 772.53}",
APP_0004,55,26742,25,99718,48,192936,car,0,647,6916,17707,0.258619400194441,0.5168449641331814,1.934816181632184,0.0776852267328537,0.6930545814464217,False,:47:29,25,0.258619400194441,9,0,4,99718,48,0.9999999999988047,approved,credit_score_vs_dti,Score=1.000 with DTI=0.26 and CS=647,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 99718.0, ""term_months"": 48, ""apr"": 0.1, ""est_monthly"": 2285.2}",
APP_0005,32,46784,25,9196,24,127686,house,0,573,34994,163849,0.7479907660738555,0.0720204251053359,13.884949978249905,0.0081901219786827,0.7015782653049405,False,:47:29,25,0.7479907660738555,6,0,0,9196,24,4.558131750342321e-23,denied,credit_score_vs_dti,Score=0.000 with DTI=0.75 and CS=573,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,
APP_0006,52,53707,13,88524,60,158144,land,0,516,38716,24343,0.7208743739177255,0.5597683124241163,1.7864533911707356,0.0274712793486022,0.2195192951950644,False,:47:29,13,0.7208743739177255,23,0,3,88524,60,4.785381557028554e-35,denied,credit_score_vs_dti,Score=0.000 with DTI=0.72 and CS=516,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 38716.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 1204.5, ""secured_by"": ""collateral""}"
APP_0007,55,59912,23,70027,24,96461,car,2,384,30245,279977,0.5048237414875066,0.7259617876654738,1.3774829708540794,0.0487012896672627,0.1869206051597159,False,:47:29,23,0.5048237414875066,19,0,1,70027,24,2.8567492210975843e-86,denied,credit_score_vs_dti,Score=0.000 with DTI=0.50 and CS=384,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 30245.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 940.96, ""secured_by"": ""collateral""}"
APP_0008,40,41477,11,31971,24,174425,deposit,0,807,5785,184451,0.1394748896979015,0.1832936792317604,5.455725501235324,0.0321171974816033,2.1083888902905312,False,:47:29,11,0.1394748896979015,20,0,0,31971,24,1.0,approved,credit_score_vs_dti,Score=1.000 with DTI=0.14 and CS=807,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 31971.0, ""term_months"": 24, ""apr"": 0.1, ""est_monthly"": 1465.34}",
APP_0009,53,27245,20,78908,48,22242,land,0,656,5767,117889,0.2116718663974963,3.547702544735026,0.2818725604501408,0.0603382883696956,0.0,False,:47:29,20,0.2116718663974963,29,0,1,78908,48,0.999999999999887,approved,credit_score_vs_dti,Score=1.000 with DTI=0.21 and CS=656,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 78908.0, ""term_months"": 48, ""apr"": 0.1, ""est_monthly"": 1808.31}",
APP_0010,32,109707,19,84505,72,29907,deposit,2,475,19503,150995,0.177773524023078,2.825592670612137,0.3539080527779379,0.0106983196654656,0.0,False,:47:29,19,0.177773524023078,11,0,4,84505,72,1.1483825766645397e-49,denied,credit_score_vs_dti,Score=0.000 with DTI=0.18 and CS=475,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 19503.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 606.76, ""secured_by"": ""collateral""}"
