application_id,top_feature,explanation,rule_reasons
APP_0001,credit_score_vs_dti,Score=0.000 with DTI=0.08 and CS=538,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0002,credit_score_vs_dti,Score=0.000 with DTI=0.98 and CS=383,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0003,credit_score_vs_dti,Score=1.000 with DTI=0.08 and CS=733,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0004,credit_score_vs_dti,Score=1.000 with DTI=0.26 and CS=647,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0005,credit_score_vs_dti,Score=0.000 with DTI=0.75 and CS=573,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0006,credit_score_vs_dti,Score=0.000 with DTI=0.72 and CS=516,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0007,credit_score_vs_dti,Score=0.000 with DTI=0.50 and CS=384,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0008,credit_score_vs_dti,Score=1.000 with DTI=0.14 and CS=807,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0009,credit_score_vs_dti,Score=1.000 with DTI=0.21 and CS=656,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0010,credit_score_vs_dti,Score=0.000 with DTI=0.18 and CS=475,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0011,credit_score_vs_dti,Score=0.000 with DTI=0.15 and CS=527,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0012,credit_score_vs_dti,Score=1.000 with DTI=1.24 and CS=699,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0013,credit_score_vs_dti,Score=1.000 with DTI=0.23 and CS=695,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0014,credit_score_vs_dti,Score=0.000 with DTI=0.11 and CS=553,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0015,credit_score_vs_dti,Score=0.000 with DTI=0.34 and CS=466,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0016,credit_score_vs_dti,Score=1.000 with DTI=0.07 and CS=662,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0017,credit_score_vs_dti,Score=1.000 with DTI=0.01 and CS=662,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0018,credit_score_vs_dti,Score=0.976 with DTI=0.22 and CS=629,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
