application_id,top_feature,value,explanation
APP_0001,income,637.6628716001088,Top factor: income
APP_0002,income,534.9152480634996,Top factor: income
APP_0003,income,559.4675833721323,Top factor: income
APP_0004,income,424.6920017197477,Top factor: income
APP_0005,loan_amount,319.85814184134637,Top factor: loan_amount
APP_0006,income,336.90474597290535,Top factor: income
APP_0007,income,682.4709975655569,Top factor: income
APP_0008,loan_amount,279.59831773758503,Top factor: loan_amount
APP_0009,income,615.2907362315702,Top factor: income
APP_0010,income,504.27842170866296,Top factor: income
APP_0011,loan_amount,380.2892393389356,Top factor: loan_amount
APP_0012,income,557.583854135189,Top factor: income
APP_0013,income,591.1717042583119,Top factor: income
APP_0014,loan_amount,231.5190230930694,Top factor: loan_amount
APP_0015,loan_amount,324.70394958737063,Top factor: loan_amount
APP_0016,income,493.5917931320094,Top factor: income
APP_0017,income,683.6523192904195,Top factor: income
APP_0018,loan_amount,290.478527582432,Top factor: loan_amount
APP_0019,income,493.55530443008314,Top factor: income
APP_0020,loan_amount,419.4649609011335,Top factor: loan_amount
APP_0021,income,484.68398877426097,Top factor: income
APP_0022,income,469.3997837548986,Top factor: income
APP_0023,loan_amount,422.89577537001685,Top factor: loan_amount
APP_0024,income,502.1347104704952,Top factor: income
APP_0025,income,625.4574008057746,Top factor: income
APP_0026,income,606.3053933822285,Top factor: income
APP_0027,loan_amount,140.98122248338873,Top factor: loan_amount
APP_0028,loan_amount,361.5373130477168,Top factor: loan_amount
APP_0029,loan_amount,325.25688542182263,Top factor: loan_amount
APP_0030,loan_amount,423.11782046889124,Top factor: loan_amount
APP_0031,loan_amount,331.970484293673,Top factor: loan_amount
APP_0032,income,601.1194366209587,Top factor: income
APP_0033,income,556.8860077108493,Top factor: income
APP_0034,income,574.8931821114589,Top factor: income
APP_0035,income,227.02814229745297,Top factor: income
APP_0036,loan_amount,144.93014218297904,Top factor: loan_amount
APP_0037,income,633.211249965105,Top factor: income
APP_0038,income,278.7417551024459,Top factor: income
APP_0039,income,488.186904159182,Top factor: income
APP_0040,income,632.5270868039876,Top factor: income
APP_0041,loan_amount,224.3134419433208,Top factor: loan_amount
APP_0042,loan_amount,383.68086937860573,Top factor: loan_amount
APP_0043,loan_amount,429.4003906193971,Top factor: loan_amount
APP_0044,loan_amount,377.40265305356803,Top factor: loan_amount
APP_0045,loan_amount,214.0863059186928,Top factor: loan_amount
APP_0046,income,581.5250036865567,Top factor: income
APP_0047,income,459.4839790064372,Top factor: income
APP_0048,income,672.7832472041347,Top factor: income
APP_0049,income,570.9797688298675,Top factor: income
APP_0050,income,663.1730353343057,Top factor: income
APP_0051,loan_amount,350.0432138118641,Top factor: loan_amount
APP_0052,loan_amount,290.548188789922,Top factor: loan_amount
APP_0053,income,598.3052454848959,Top factor: income
APP_0054,income,253.64208926491935,Top factor: income
APP_0055,loan_amount,251.5117896427041,Top factor: loan_amount
APP_0056,income,495.5211332463604,Top factor: income
APP_0057,income,570.6832981267165,Top factor: income
APP_0058,income,666.0282762600357,Top factor: income
APP_0059,income,642.9947831690836,Top factor: income
APP_0060,loan_amount,205.6050539067833,Top factor: loan_amount
APP_0061,income,554.2314546457138,Top factor: income
APP_0062,income,596.4306384234343,Top factor: income
APP_0063,income,512.0505152189564,Top factor: income
APP_0064,income,581.4200986685188,Top factor: income
APP_0065,income,591.7874511033176,Top factor: income
APP_0066,loan_amount,416.00366965397336,Top factor: loan_amount
APP_0067,income,136.91473180281153,Top factor: income
APP_0068,income,374.11866084995046,Top factor: income
