application_id,decision,score,loan_amount,income,DTI,LTV,collateral_type,collateral_value,customer_type,requested_amount,loan_term_months,proposed_loan_option,proposed_consolidation_loan,rule_reasons,top_feature,explanation,currency_code
APP_0001,approved,1.0,77336.0,139805.0,0.2012302850398755,1.1225523638105304,car,68893.0,bank,77336.0,24,"{""term_months"": 24, ""apr"": 0.15, ""amount"": 77336.0}",,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",income,Top factor: income,USD
APP_0002,approved,1.0,66833.0,117278.0,0.3232319787172332,2.0989604597844886,real_estate,31841.0,bank,66833.0,24,"{""term_months"": 24, ""apr"": 0.15, ""amount"": 66833.0}",,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",income,Top factor: income,USD
APP_0003,approved,1.0,90816.0,122661.0,0.3079707486487122,0.507683793317417,real_estate,178883.0,bank,90816.0,12,"{""term_months"": 12, ""apr"": 0.15, ""amount"": 90816.0}",,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",income,Top factor: income,USD
APP_0004,approved,1.0,53932.0,93112.0,0.2859029985393903,1.481485551038307,real_estate,36404.0,bank,53932.0,36,"{""term_months"": 36, ""apr"": 0.15, ""amount"": 53932.0}",,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",income,Top factor: income,USD
APP_0005,denied,4.113055572978846e-69,73466.0,38823.0,0.3315302784431824,0.6021062984059288,car,122015.0,non-bank,73466.0,72,"{""term_months"": 72, ""apr"": 0.15, ""amount"": 73466.0}","{""consolidated_amount"": 75317.1, ""term_months"": 84, ""apr"": 0.19, ""note"": ""Refinance current loans/debt and reduce requested amount by 15% to fit affordability.""}","{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",loan_amount,Top factor: loan_amount,USD
APP_0006,approved,1.0,32049.0,73865.0,0.3561768090435205,0.6005621662137993,real_estate,53365.0,bank,32049.0,12,"{""term_months"": 12, ""apr"": 0.15, ""amount"": 32049.0}",,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",income,Top factor: income,USD
APP_0007,approved,1.0,96505.0,149629.0,0.276276657599795,2.997328943690313,deposit,32197.0,bank,96505.0,24,"{""term_months"": 24, ""apr"": 0.15, ""amount"": 96505.0}",,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",income,Top factor: income,USD
APP_0008,denied,6.6351967774855e-70,64219.0,30521.0,1.5901182792175357,0.4088533211095593,real_estate,157071.0,bank,64219.0,12,,"{""consolidated_amount"": 103118.15, ""term_months"": 24, ""apr"": 0.19, ""note"": ""Refinance current loans/debt and reduce requested amount by 15% to fit affordability.""}","{""ndi_value_ok"": false, ""ndi_ratio_ok"": false}",loan_amount,Top factor: loan_amount,USD
APP_0009,approved,1.0,79290.0,134900.0,0.3437731653076327,2.2276852190036744,land,35593.0,non-bank,79290.0,48,"{""term_months"": 48, ""apr"": 0.15, ""amount"": 79290.0}",,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",income,Top factor: income,USD
APP_0010,approved,1.0,48770.0,110561.0,0.0820632953754028,0.3568110152689043,land,136683.0,bank,48770.0,24,"{""term_months"": 24, ""apr"": 0.15, ""amount"": 48770.0}",,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",income,Top factor: income,USD
APP_0011,denied,1.9433859989506308e-53,87346.0,60488.0,0.493800423224433,0.6191502332109345,car,141074.0,bank,87346.0,60,"{""term_months"": 60, ""apr"": 0.22, ""amount"": 87346.0}","{""consolidated_amount"": 104113.1, ""term_months"": 72, ""apr"": 0.19, ""note"": ""Refinance current loans/debt and reduce requested amount by 15% to fit affordability.""}","{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",loan_amount,Top factor: loan_amount,USD
APP_0012,approved,1.0,12046.0,122248.0,0.0427737059092987,0.6157542299238044,deposit,19563.0,bank,12046.0,48,"{""term_months"": 48, ""apr"": 0.15, ""amount"": 12046.0}",,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",income,Top factor: income,USD
APP_0013,approved,1.0,15839.0,129612.0,0.2580548097398369,0.3843950976823108,real_estate,41205.0,bank,15839.0,60,"{""term_months"": 60, ""apr"": 0.15, ""amount"": 15839.0}",,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",income,Top factor: income,USD
APP_0014,denied,1.9347843601017413e-49,53176.0,30402.0,1.6319978948752834,0.3312795529445458,real_estate,160517.0,bank,53176.0,48,,"{""consolidated_amount"": 94815.6, ""term_months"": 60, ""apr"": 0.19, ""note"": ""Refinance current loans/debt and reduce requested amount by 15% to fit affordability.""}","{""ndi_value_ok"": false, ""ndi_ratio_ok"": false}",loan_amount,Top factor: loan_amount,USD
APP_0015,denied,2.2174593734277253e-71,74579.0,38302.0,0.0686126050858945,0.7075806451612836,car,105400.0,bank,74579.0,36,"{""term_months"": 36, ""apr"": 0.15, ""amount"": 74579.0}","{""consolidated_amount"": 66020.15, ""term_months"": 48, ""apr"": 0.19, ""note"": ""Refinance current loans/debt and reduce requested amount by 15% to fit affordability.""}","{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",loan_amount,Top factor: loan_amount,USD
