application_id,top_feature,value,explanation
APP_0001,income,4096.467727468456,Top factor: income
APP_0002,income,4913.0312312561855,Top factor: income
APP_0003,income,4712.533756556548,Top factor: income
APP_0004,loan_amount,3573.3578143429586,Top factor: loan_amount
APP_0005,income,5149.179838821917,Top factor: income
APP_0006,loan_amount,3705.223722387271,Top factor: loan_amount
APP_0007,loan_amount,3435.68371776085,Top factor: loan_amount
APP_0008,income,3584.263726223368,Top factor: income
APP_0009,income,5856.421231354718,Top factor: income
APP_0010,income,5307.36166707914,Top factor: income
APP_0011,income,5187.5610133939745,Top factor: income
APP_0012,income,3326.1944896656455,Top factor: income
APP_0013,income,4938.846184446386,Top factor: income
APP_0014,income,2936.2401501066597,Top factor: income
APP_0015,income,4447.157643668162,Top factor: income
APP_0016,income,4213.297453414781,Top factor: income
APP_0017,income,2257.2627187649973,Top factor: income
APP_0018,income,2340.8903198461635,Top factor: income
APP_0019,income,1310.4601665340117,Top factor: income
APP_0020,income,1705.1117837341383,Top factor: income
APP_0021,income,3179.775929347348,Top factor: income
APP_0022,income,3401.872851661804,Top factor: income
APP_0023,loan_amount,3505.3018672690564,Top factor: loan_amount
APP_0024,loan_amount,3404.3595561294246,Top factor: loan_amount
APP_0025,income,4035.7242995107968,Top factor: income
APP_0026,income,2170.8247806335758,Top factor: income
APP_0027,income,2701.09523434459,Top factor: income
APP_0028,income,2847.9955667286454,Top factor: income
APP_0029,income,3538.2544939434756,Top factor: income
APP_0030,income,2842.4150403002814,Top factor: income
APP_0031,income,4702.015066454164,Top factor: income
APP_0032,income,2647.1769106518364,Top factor: income
APP_0033,income,3181.1810978724757,Top factor: income
APP_0034,income,2908.016336587668,Top factor: income
APP_0035,income,1921.6281796202302,Top factor: income
APP_0036,income,4445.0298170443975,Top factor: income
APP_0037,loan_amount,3635.6856858244137,Top factor: loan_amount
APP_0038,income,2493.5317693471684,Top factor: income
APP_0039,income,4982.045079676024,Top factor: income
APP_0040,income,5765.486753942888,Top factor: income
APP_0041,income,4370.274851507608,Top factor: income
APP_0042,income,5602.326614339499,Top factor: income
APP_0043,income,5290.379201761169,Top factor: income
APP_0044,income,3417.0888194053286,Top factor: income
APP_0045,income,4869.35056396079,Top factor: income
APP_0046,income,2651.5530069158053,Top factor: income
APP_0047,income,3314.672107759599,Top factor: income
APP_0048,income,3690.735352755895,Top factor: income
APP_0049,income,5823.861469243904,Top factor: income
APP_0050,income,5262.155388242178,Top factor: income
APP_0051,income,3458.9628414541316,Top factor: income
APP_0052,income,4278.6578636692875,Top factor: income
APP_0053,loan_amount,2109.5741334002773,Top factor: loan_amount
APP_0054,income,5040.459942649187,Top factor: income
APP_0055,income,3779.060231478202,Top factor: income
APP_0056,loan_amount,3988.3829277230075,Top factor: loan_amount
APP_0057,income,4849.236580215392,Top factor: income
APP_0058,income,4179.934737861036,Top factor: income
APP_0059,loan_amount,1815.5195674970885,Top factor: loan_amount
APP_0060,income,2449.77080670748,Top factor: income
APP_0061,loan_amount,3132.656501978583,Top factor: loan_amount
APP_0062,income,4691.697114712513,Top factor: income
APP_0063,income,1180.060527402169,Top factor: income
APP_0064,loan_amount,2884.586766705671,Top factor: loan_amount
APP_0065,income,4001.9199595634414,Top factor: income
APP_0066,income,4490.476981914238,Top factor: income
APP_0067,loan_amount,3722.6883444733344,Top factor: loan_amount
APP_0068,income,5323.1397022327155,Top factor: income
APP_0069,income,5615.3344601149665,Top factor: income
APP_0070,income,1666.6101661456416,Top factor: income
APP_0071,income,5783.7940924416935,Top factor: income
APP_0072,income,4086.9125814975882,Top factor: income
APP_0073,income,4196.515726457542,Top factor: income
APP_0074,loan_amount,2198.419389792223,Top factor: loan_amount
APP_0075,income,4124.490802626716,Top factor: income
APP_0076,income,4645.647734760474,Top factor: income
APP_0077,income,3918.3325061544215,Top factor: income
APP_0078,income,1427.691369201801,Top factor: income
APP_0079,income,3629.4700050603305,Top factor: income
APP_0080,income,5700.648263426286,Top factor: income
APP_0081,income,4634.125352854428,Top factor: income
APP_0082,loan_amount,3964.2689311729846,Top factor: loan_amount
APP_0083,income,5821.0912798657955,Top factor: income
APP_0084,income,5815.791787142457,Top factor: income
APP_0085,income,1853.7786136926397,Top factor: income
APP_0086,income,5022.875262249018,Top factor: income
APP_0087,loan_amount,3250.7429834228824,Top factor: loan_amount
APP_0088,income,3983.0505536545847,Top factor: income
APP_0089,income,3237.829463271192,Top factor: income
APP_0090,income,4931.258274410698,Top factor: income
APP_0091,income,6005.3690950182445,Top factor: income
APP_0092,income,4993.928790631389,Top factor: income
APP_0093,income,5677.723942630632,Top factor: income
APP_0094,income,5751.274478003026,Top factor: income
APP_0095,income,1455.8750350486464,Top factor: income
APP_0096,income,2275.2488758866307,Top factor: income
APP_0097,income,4626.296556785859,Top factor: income
APP_0098,income,3964.9439535165116,Top factor: income
APP_0099,income,1255.3374126768626,Top factor: income
APP_0100,loan_amount,1850.969545813983,Top factor: loan_amount
APP_0101,income,3616.0205348912523,Top factor: income
APP_0102,income,4095.8655123862586,Top factor: income
APP_0103,loan_amount,3697.132314907031,Top factor: loan_amount
APP_0104,income,1863.293611991361,Top factor: income
APP_0105,income,1652.759219255098,Top factor: income
APP_0106,income,3838.840115304345,Top factor: income
APP_0107,loan_amount,1129.1118517475936,Top factor: loan_amount
APP_0108,income,3876.3781887613254,Top factor: income
APP_0109,loan_amount,3780.0492133431567,Top factor: loan_amount
APP_0110,income,3342.2134108521,Top factor: income
APP_0111,income,4412.590497950023,Top factor: income
APP_0112,income,3626.458929649343,Top factor: income
APP_0113,income,4655.845243485685,Top factor: income
APP_0114,income,4837.393016932173,Top factor: income
APP_0115,income,5621.236167920502,Top factor: income
APP_0116,income,5014.644989458985,Top factor: income
APP_0117,loan_amount,3988.9437183404502,Top factor: loan_amount
APP_0118,income,3473.5364464433123,Top factor: income
APP_0119,loan_amount,2952.4824878888753,Top factor: loan_amount
APP_0120,income,4012.7196833708504,Top factor: income
APP_0121,income,1701.899969962418,Top factor: income
APP_0122,income,5677.0414322041415,Top factor: income
APP_0123,income,5244.490412497716,Top factor: income
APP_0124,income,1604.5418650071479,Top factor: income
APP_0125,income,4947.959706023643,Top factor: income
APP_0126,loan_amount,3410.408083503268,Top factor: loan_amount
APP_0127,income,4623.124890686286,Top factor: income
APP_0128,loan_amount,2626.5029132641444,Top factor: loan_amount
APP_0129,income,3453.663348730793,Top factor: income
APP_0130,income,4305.115179613834,Top factor: income
APP_0131,income,4661.18488388117,Top factor: income
APP_0132,income,3104.458896400508,Top factor: income
