application_id,top_feature
APP_00001,score
APP_00002,score
APP_00003,score
APP_00004,score
APP_00005,score
APP_00006,score
APP_00007,score
APP_00008,score
APP_00009,score
APP_00010,score
APP_00011,score
APP_00012,score
APP_00013,score
APP_00014,score
APP_00015,score
APP_00016,score
APP_00017,score
APP_00018,score
APP_00019,score
APP_00020,score
APP_00021,score
APP_00022,score
APP_00023,score
APP_00024,score
APP_00025,score
APP_00026,score
APP_00027,score
APP_00028,score
APP_00029,score
APP_00030,score
APP_00031,score
APP_00032,score
APP_00033,score
APP_00034,score
APP_00035,score
APP_00036,score
APP_00037,score
APP_00038,score
APP_00039,score
APP_00040,score
APP_00041,score
APP_00042,score
APP_00043,score
APP_00044,score
APP_00045,score
APP_00046,score
APP_00047,score
APP_00048,score
APP_00049,score
APP_00050,score
APP_00051,score
APP_00052,score
APP_00053,score
APP_00054,score
APP_00055,score
APP_00056,score
APP_00057,score
APP_00058,score
APP_00059,score
APP_00060,score
APP_00061,score
APP_00062,score
APP_00063,score
APP_00064,score
APP_00065,score
APP_00066,score
APP_00067,score
APP_00068,score
APP_00069,score
APP_00070,score
APP_00071,score
APP_00072,score
APP_00073,score
APP_00074,score
APP_00075,score
APP_00076,score
APP_00077,score
APP_00078,score
APP_00079,score
APP_00080,score
APP_00081,score
APP_00082,score
APP_00083,score
APP_00084,score
APP_00085,score
APP_00086,score
APP_00087,score
APP_00088,score
APP_00089,score
APP_00090,score
APP_00091,score
APP_00092,score
APP_00093,score
APP_00094,score
APP_00095,score
APP_00096,score
APP_00097,score
APP_00098,score
APP_00099,score
APP_00100,score
APP_00101,score
APP_00102,score
APP_00103,score
APP_00104,score
APP_00105,score
APP_00106,score
APP_00107,score
APP_00108,score
APP_00109,score
APP_00110,score
APP_00111,score
APP_00112,score
APP_00113,score
APP_00114,score
APP_00115,score
APP_00116,score
APP_00117,score
APP_00118,score
APP_00119,score
APP_00120,score
APP_00121,score
APP_00122,score
APP_00123,score
APP_00124,score
APP_00125,score
APP_00126,score
APP_00127,score
APP_00128,score
APP_00129,score
APP_00130,score
APP_00131,score
APP_00132,score
APP_00133,score
APP_00134,score
APP_00135,score
APP_00136,score
APP_00137,score
APP_00138,score
