application_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,collateral_type,co_loaners,credit_score,existing_debt,assets_owned,current_loans,customer_type,DTI,LTV,CCR,ITI,CWI,currency_code,session_flagged,created_at,employment_years,debt_to_income,credit_history_length,num_delinquencies,requested_amount,loan_term_months,score,decision,rule_reasons,top_feature,proposed_loan_option,proposed_consolidation_loan
APP_0001,64,102035.0,0,81788.0,72,172085.0,car,0,501,322.0,260344.0,3,bank,0.003155779879453,0.4752767527675249,2.10403726708072,0.0111328901301382,1.1005531684871177,USD,False,:44:25,0,0.003155779879453,20,0,81788.0,72,0.5,denied,"{""model_threshold"": true, ""max_dti"": true, ""min_emp_years"": false, ""min_credit_hist"": true, ""salary_floor"": true, ""max_delinquencies"": true, ""max_current_loans"": true, ""requested_min"": true, ""requested_max"": true, ""allowed_term"": false, ""min_income_debt_ratio"": true}",score,,"{""type"": ""consolidation"", ""buyback_amount"": 322.0, ""new_term_months"": 72, ""note"": ""Consolidate existing debt to improve affordability.""}"
APP_0002,55,122374.0,9,74987.0,36,54343.0,land,0,304,28321.0,72216.0,2,bank,0.231429878895842,1.3798833336400018,0.724698947817612,0.0170213625620176,0.0,USD,False,:44:25,9,0.231429878895842,6,0,74987.0,36,0.5,approved,"{""model_threshold"": true, ""max_dti"": true, ""min_emp_years"": true, ""min_credit_hist"": true, ""salary_floor"": true, ""max_delinquencies"": true, ""max_current_loans"": true, ""requested_min"": true, ""requested_max"": true, ""allowed_term"": true, ""min_income_debt_ratio"": true}",score,"{""type"": ""standard"", ""amount"": 74987.0, ""term_months"": 36, ""monthly_relief_factor"": 0.5}",
APP_0003,35,117380.0,15,58040.0,72,65541.0,deposit,0,321,37295.0,236344.0,4,bank,0.3177287442494435,0.8855525548892924,1.1292384562370583,0.0068675337459525,0.0881756838281433,USD,False,:44:25,15,0.3177287442494435,23,0,58040.0,72,0.5,denied,"{""model_threshold"": true, ""max_dti"": true, ""min_emp_years"": true, ""min_credit_hist"": true, ""salary_floor"": true, ""max_delinquencies"": true, ""max_current_loans"": false, ""requested_min"": true, ""requested_max"": true, ""allowed_term"": false, ""min_income_debt_ratio"": true}",score,,"{""type"": ""consolidation"", ""buyback_amount"": 37295.0, ""new_term_months"": 72, ""note"": ""Consolidate existing debt to improve affordability.""}"
APP_0004,63,41819.0,27,89208.0,60,69918.0,car,0,484,27545.0,173174.0,0,bank,0.658671895549854,1.275894619411292,0.7837637880010673,0.0355532174364567,0.0,USD,False,:44:25,27,0.658671895549854,9,0,89208.0,60,0.5,denied,"{""model_threshold"": true, ""max_dti"": false, ""min_emp_years"": true, ""min_credit_hist"": true, ""salary_floor"": true, ""max_delinquencies"": true, ""max_current_loans"": true, ""requested_min"": true, ""requested_max"": true, ""allowed_term"": true, ""min_income_debt_ratio"": true}",score,,"{""type"": ""consolidation"", ""buyback_amount"": 27545.0, ""new_term_months"": 60, ""note"": ""Consolidate existing debt to improve affordability.""}"
APP_0005,42,128256.0,22,17185.0,48,42058.0,real_estate,2,549,19197.0,229870.0,0,non-bank,0.1496772080838311,0.4086024062009509,2.4473668897292726,0.002791454850657,1.2307290546016865,USD,False,:44:25,22,0.1496772080838311,6,0,17185.0,48,0.5,approved,"{""model_threshold"": true, ""max_dti"": true, ""min_emp_years"": true, ""min_credit_hist"": true, ""salary_floor"": true, ""max_delinquencies"": true, ""max_current_loans"": true, ""requested_min"": true, ""requested_max"": true, ""allowed_term"": true, ""min_income_debt_ratio"": true}",score,"{""type"": ""standard"", ""amount"": 17185.0, ""term_months"": 48, ""monthly_relief_factor"": 0.5}",
APP_0006,43,92008.0,23,92500.0,72,37844.0,deposit,0,738,41427.0,229106.0,4,bank,0.4502543257108028,2.4442447944191303,0.4091243243243199,0.013963157792848,0.0,USD,False,:44:25,23,0.4502543257108028,23,0,92500.0,72,0.5,denied,"{""model_threshold"": true, ""max_dti"": false, ""min_emp_years"": true, ""min_credit_hist"": true, ""salary_floor"": true, ""max_delinquencies"": true, ""max_current_loans"": false, ""requested_min"": true, ""requested_max"": true, ""allowed_term"": false, ""min_income_debt_ratio"": true}",score,,"{""type"": ""consolidation"", ""buyback_amount"": 41427.0, ""new_term_months"": 72, ""note"": ""Consolidate existing debt to improve affordability.""}"
APP_0007,40,65385.0,16,85771.0,48,74626.0,real_estate,0,373,18551.0,164405.0,1,bank,0.2837195075323043,1.1493447323988804,0.8700609763206576,0.0273288343396203,0.0,USD,False,:44:25,16,0.2837195075323043,19,0,85771.0,48,0.5,approved,"{""model_threshold"": true, ""max_dti"": true, ""min_emp_years"": true, ""min_credit_hist"": true, ""salary_floor"": true, ""max_delinquencies"": true, ""max_current_loans"": true, ""requested_min"": true, ""requested_max"": true, ""allowed_term"": true, ""min_income_debt_ratio"": true}",score,"{""type"": ""standard"", ""amount"": 85771.0, ""term_months"": 48, ""monthly_relief_factor"": 0.5}",
APP_0008,27,89277.0,3,52845.0,60,175868.0,land,0,761,35526.0,84652.0,1,bank,0.3979300379717015,0.3004810426001302,3.327996972277352,0.0098653628592505,1.2634780563594437,USD,False,:44:25,3,0.3979300379717015,20,0,52845.0,60,0.5,approved,"{""model_threshold"": true, ""max_dti"": true, ""min_emp_years"": true, ""min_credit_hist"": true, ""salary_floor"": true, ""max_delinquencies"": true, ""max_current_loans"": true, ""requested_min"": true, ""requested_max"": true, ""allowed_term"": true, ""min_income_debt_ratio"": true}",score,"{""type"": ""standard"", ""amount"": 52845.0, ""term_months"": 60, ""monthly_relief_factor"": 0.5}",
APP_0009,62,145872.0,11,74672.0,24,8294.0,real_estate,0,428,23207.0,162593.0,3,non-bank,0.1590915323022913,9.003134796237159,0.1110724233983272,0.0213292018564472,0.0,USD,False,:44:25,11,0.1590915323022913,29,0,74672.0,24,0.5,approved,"{""model_threshold"": true, ""max_dti"": true, ""min_emp_years"": true, ""min_credit_hist"": true, ""salary_floor"": true, ""max_delinquencies"": true, ""max_current_loans"": true, ""requested_min"": true, ""requested_max"": true, ""allowed_term"": true, ""min_income_debt_ratio"": true}",score,"{""type"": ""standard"", ""amount"": 74672.0, ""term_months"": 24, ""monthly_relief_factor"": 0.5}",
APP_0010,21,132196.0,29,54426.0,72,62383.0,real_estate,0,376,1328.0,249769.0,0,bank,0.010045689733426,0.8724492249490908,1.146198508065977,0.005718150826471,0.1447298432144901,USD,False,:44:25,29,0.010045689733426,11,0,54426.0,72,0.5,denied,"{""model_threshold"": true, ""max_dti"": true, ""min_emp_years"": true, ""min_credit_hist"": true, ""salary_floor"": true, ""max_delinquencies"": true, ""max_current_loans"": true, ""requested_min"": true, ""requested_max"": true, ""allowed_term"": false, ""min_income_debt_ratio"": true}",score,,"{""type"": ""consolidation"", ""buyback_amount"": 1328.0, ""new_term_months"": 72, ""note"": ""Consolidate existing debt to improve affordability.""}"
APP_0011,28,129212.0,1,30532.0,48,19640.0,deposit,1,684,26525.0,291491.0,2,bank,0.205282791072035,1.5545824847249716,0.6432595309838647,0.0049227883890047,0.0,USD,False,:44:25,1,0.205282791072035,25,0,30532.0,48,0.5,denied,"{""model_threshold"": true, ""max_dti"": true, ""min_emp_years"": false, ""min_credit_hist"": true, ""salary_floor"": true, ""max_delinquencies"": true, ""max_current_loans"": true, ""requested_min"": true, ""requested_max"": true, ""allowed_term"": true, ""min_income_debt_ratio"": true}",score,,"{""type"": ""consolidation"", ""buyback_amount"": 26525.0, ""new_term_months"": 48, ""note"": ""Consolidate existing debt to improve affordability.""}"
