application_id,score,decision,top_feature,shap,explanation,proposed_loan_option,proposed_consolidation_loan
APP_0001,0.0007944222380432521,deny,DTI,-8.92675928878796,DTI decreased approval likelihood most,,"{'consolidate_amount': 107452.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0002,0.9999493890136526,approve,DTI,3.478212333076578,DTI increased approval likelihood most,"{'term_months': 24, 'apr_pct': 12.0, 'note': 'Standard offer'}",
APP_0003,0.9999627294918252,approve,DTI,3.574135367967484,DTI increased approval likelihood most,"{'term_months': 48, 'apr_pct': 12.0, 'note': 'Standard offer'}",
APP_0004,0.9999748783281688,approve,DTI,3.4145325606939645,DTI increased approval likelihood most,"{'term_months': 72, 'apr_pct': 12.0, 'note': 'Standard offer'}",
APP_0005,2.6527411473646326e-05,deny,DTI,-4.388644999980831,DTI decreased approval likelihood most,,"{'consolidate_amount': 123368.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0006,0.9999338954221006,approve,DTI,3.3395558504758287,DTI increased approval likelihood most,"{'term_months': 60, 'apr_pct': 12.0, 'note': 'Standard offer'}",
APP_0007,0.9999568022093841,approve,DTI,3.3587562418023187,DTI increased approval likelihood most,"{'term_months': 48, 'apr_pct': 12.0, 'note': 'Standard offer'}",
APP_0008,0.9999340646692628,approve,DTI,3.3880598135617808,DTI increased approval likelihood most,"{'term_months': 12, 'apr_pct': 12.0, 'note': 'Standard offer'}",
APP_0009,0.0004858182909991519,deny,DTI,-8.556098054128324,DTI decreased approval likelihood most,,"{'consolidate_amount': 136244.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0010,0.999802977907279,approve,credit_score,3.508835887891541,credit_score increased approval likelihood most,"{'term_months': 72, 'apr_pct': 12.0, 'note': 'Standard offer'}",
APP_0011,0.00020818508234933032,deny,LTV,-6.668748462046971,LTV decreased approval likelihood most,,"{'consolidate_amount': 109037.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0012,0.9999837854967031,approve,DTI,2.312205230903665,DTI increased approval likelihood most,"{'term_months': 72, 'apr_pct': 12.0, 'note': 'Standard offer'}",
APP_0013,0.9974182963931155,deny,credit_score,5.9776060688706485,credit_score increased approval likelihood most,,"{'consolidate_amount': 87151.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0014,0.0006851535834177293,deny,DTI,-9.049321569178161,DTI decreased approval likelihood most,,"{'consolidate_amount': 87675.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0015,0.9999272171304615,approve,credit_score,2.189521619603798,credit_score increased approval likelihood most,"{'term_months': 60, 'apr_pct': 12.0, 'note': 'Standard offer'}",
