application_id,score,decision,top_feature,shap,explanation
a001,0.9999995197610282,approve,debt_to_income,13.652598231452151,debt_to_income increased approval likelihood most
a002,3.4933096665678194e-05,deny,debt_to_income,-12.538100325883706,debt_to_income decreased approval likelihood most
a003,6.319161887645898e-05,deny,debt_to_income,-12.572661024210046,debt_to_income decreased approval likelihood most
a004,3.874584743522289e-07,deny,debt_to_income,-12.298456810045895,debt_to_income decreased approval likelihood most
a005,0.999215015676331,approve,debt_to_income,9.120495362556229,debt_to_income increased approval likelihood most
a006,0.9999900488928316,approve,debt_to_income,10.162159879944877,debt_to_income increased approval likelihood most
a007,1.1396601466298453e-07,deny,debt_to_income,-11.369202712739757,debt_to_income decreased approval likelihood most
a008,0.9999958667627167,approve,debt_to_income,9.402929877326875,debt_to_income increased approval likelihood most
a009,5.446106847644439e-05,deny,debt_to_income,-12.800217363376252,debt_to_income decreased approval likelihood most
a010,0.999958682480066,approve,debt_to_income,12.512567639773197,debt_to_income increased approval likelihood most
a011,3.6973721419969824e-05,deny,debt_to_income,-12.53542123965844,debt_to_income decreased approval likelihood most
a012,3.685923650111342e-05,deny,debt_to_income,-12.631178676422246,debt_to_income decreased approval likelihood most
a013,0.9995078286609858,approve,num_delinquencies,4.037924440762543,num_delinquencies increased approval likelihood most
a014,2.1634715119831895e-05,deny,debt_to_income,-12.716351010108273,debt_to_income decreased approval likelihood most
a015,0.9999993911363155,approve,debt_to_income,12.35289860132645,debt_to_income increased approval likelihood most
a016,3.154745507859808e-07,deny,debt_to_income,-13.754363728578783,debt_to_income decreased approval likelihood most
a017,0.9996663186759489,approve,debt_to_income,9.400735045217065,debt_to_income increased approval likelihood most
a018,0.9999996596420347,approve,debt_to_income,12.437766759649778,debt_to_income increased approval likelihood most
a019,4.9262656244164435e-05,deny,debt_to_income,-12.508646076544768,debt_to_income decreased approval likelihood most
a020,0.9999780262954557,approve,debt_to_income,12.952969436573222,debt_to_income increased approval likelihood most
a021,4.3253198173510134e-05,deny,debt_to_income,-12.286084187166217,debt_to_income decreased approval likelihood most
a022,4.121439036760843e-05,deny,debt_to_income,-12.489247269128308,debt_to_income decreased approval likelihood most
a023,6.495859127762288e-07,deny,debt_to_income,-13.695393345603687,debt_to_income decreased approval likelihood most
a024,3.042043715097093e-05,deny,debt_to_income,-12.569162633866343,debt_to_income decreased approval likelihood most
a025,3.492280752056881e-07,deny,debt_to_income,-12.11096238980663,debt_to_income decreased approval likelihood most
a026,0.0011344254382117467,deny,num_delinquencies,-9.454830492800259,num_delinquencies decreased approval likelihood most
a027,0.9999997415414175,approve,debt_to_income,12.395084823495361,debt_to_income increased approval likelihood most
a028,6.118958439729698e-05,deny,debt_to_income,-12.602801848861205,debt_to_income decreased approval likelihood most
a029,0.999995751321898,approve,debt_to_income,9.285161514192575,debt_to_income increased approval likelihood most
a030,0.9999572286757473,approve,debt_to_income,12.584754099147306,debt_to_income increased approval likelihood most
a031,0.0001304951511385957,deny,debt_to_income,-12.246112632635796,debt_to_income decreased approval likelihood most
a032,4.021298571627682e-05,deny,debt_to_income,-12.228185056775905,debt_to_income decreased approval likelihood most
a033,0.9999991980641306,approve,debt_to_income,12.345930863376303,debt_to_income increased approval likelihood most
a034,0.9999924828598677,approve,debt_to_income,10.23423448773992,debt_to_income increased approval likelihood most
a035,1.4268313629948906e-07,deny,debt_to_income,-13.79519440277154,debt_to_income decreased approval likelihood most
a036,0.9999683189836944,approve,debt_to_income,12.75862337384542,debt_to_income increased approval likelihood most
a037,0.00015391249038878115,deny,debt_to_income,-12.436060998014572,debt_to_income decreased approval likelihood most
a038,6.232485069609855e-07,deny,debt_to_income,-12.474068717597406,debt_to_income decreased approval likelihood most
a039,0.9999786981135476,approve,debt_to_income,12.951761942634754,debt_to_income increased approval likelihood most
a040,3.7875684285242676e-07,deny,debt_to_income,-13.736671667116108,debt_to_income decreased approval likelihood most
a041,5.990112629003482e-05,deny,debt_to_income,-12.37912855747041,debt_to_income decreased approval likelihood most
a042,0.000761592749626995,deny,num_delinquencies,-4.2343506996479245,num_delinquencies decreased approval likelihood most
a043,4.4174826509825675e-05,deny,debt_to_income,-12.538110443342761,debt_to_income decreased approval likelihood most
a044,0.999981021898503,approve,debt_to_income,13.094953972684205,debt_to_income increased approval likelihood most
a045,0.9999997814801811,approve,debt_to_income,13.712298940421716,debt_to_income increased approval likelihood most
a046,1.9119354001529091e-07,deny,debt_to_income,-12.211130689862586,debt_to_income decreased approval likelihood most
a047,0.9999995463182207,approve,debt_to_income,12.220350842432001,debt_to_income increased approval likelihood most
a048,2.715484792084992e-07,deny,debt_to_income,-12.299177588548199,debt_to_income decreased approval likelihood most
a049,3.9389805469070584e-05,deny,debt_to_income,-12.708276052576629,debt_to_income decreased approval likelihood most
a050,0.0003228741734817483,deny,num_delinquencies,-6.936287136976287,num_delinquencies decreased approval likelihood most
a051,6.0696999887988944e-05,deny,debt_to_income,-12.124778145278645,debt_to_income decreased approval likelihood most
a052,4.9747019441793e-07,deny,debt_to_income,-13.747819885127031,debt_to_income decreased approval likelihood most
a053,0.9999951736223869,approve,debt_to_income,10.370546201779263,debt_to_income increased approval likelihood most
a054,7.38646445855853e-07,deny,debt_to_income,-13.319226713535148,debt_to_income decreased approval likelihood most
a055,0.9999997651081781,approve,debt_to_income,13.512101386198061,debt_to_income increased approval likelihood most
a056,1.3868198265093168e-07,deny,debt_to_income,-12.639463697343311,debt_to_income decreased approval likelihood most
a057,0.9999898592920297,approve,debt_to_income,9.048701069206667,debt_to_income increased approval likelihood most
a058,1.4065476756148653e-07,deny,debt_to_income,-12.829534256328893,debt_to_income decreased approval likelihood most
a059,0.9999997852730246,approve,debt_to_income,12.173892361350315,debt_to_income increased approval likelihood most
a060,0.9999988098269074,approve,debt_to_income,12.009011911424361,debt_to_income increased approval likelihood most
a061,0.999999741510152,approve,debt_to_income,12.286240452250953,debt_to_income increased approval likelihood most
a062,0.9999734072551886,approve,debt_to_income,13.129459035511918,debt_to_income increased approval likelihood most
a063,0.999999668196369,approve,debt_to_income,12.341698442507504,debt_to_income increased approval likelihood most
a064,0.9999997117173532,approve,debt_to_income,13.880568200435077,debt_to_income increased approval likelihood most
a065,0.9995984450077059,approve,num_delinquencies,3.925771039711762,num_delinquencies increased approval likelihood most
a066,0.9999922732652964,approve,debt_to_income,10.334430570739592,debt_to_income increased approval likelihood most
a067,2.1642681265340643e-05,deny,debt_to_income,-12.816420329528938,debt_to_income decreased approval likelihood most
a068,0.9999985116212567,approve,debt_to_income,12.274476001040993,debt_to_income increased approval likelihood most
a069,0.9999994110920873,approve,debt_to_income,13.868899027676798,debt_to_income increased approval likelihood most
a070,0.00047150398094618833,deny,num_delinquencies,-9.473102932670418,num_delinquencies decreased approval likelihood most
a071,0.9999994234544087,approve,debt_to_income,12.379322425356078,debt_to_income increased approval likelihood most
a072,0.9997522944184709,approve,debt_to_income,12.97139605127998,debt_to_income increased approval likelihood most
a073,0.9999996221523118,approve,debt_to_income,12.171377521619691,debt_to_income increased approval likelihood most
a074,0.9999992807693731,approve,debt_to_income,12.323419526206052,debt_to_income increased approval likelihood most
a075,6.209352662370661e-05,deny,debt_to_income,-12.33686666664912,debt_to_income decreased approval likelihood most
a076,0.9999794279093107,approve,debt_to_income,12.84700465639113,debt_to_income increased approval likelihood most
a077,0.9999993925297852,approve,debt_to_income,13.757369368398322,debt_to_income increased approval likelihood most
a078,3.251782193421199e-05,deny,debt_to_income,-12.606434302597826,debt_to_income decreased approval likelihood most
a079,9.72933072105986e-07,deny,debt_to_income,-12.060209571894259,debt_to_income decreased approval likelihood most
a080,0.9998307089888413,approve,debt_to_income,12.939172350841462,debt_to_income increased approval likelihood most
a081,4.788282550749733e-05,deny,debt_to_income,-12.435508007420388,debt_to_income decreased approval likelihood most
a082,0.9996468137550609,approve,debt_to_income,12.216045786010046,debt_to_income increased approval likelihood most
a083,0.999980395466636,approve,debt_to_income,13.11820431731523,debt_to_income increased approval likelihood most
a084,0.9997896398274275,approve,debt_to_income,12.931371961121151,debt_to_income increased approval likelihood most
a085,1.497296899218875e-07,deny,debt_to_income,-11.078071318535134,debt_to_income decreased approval likelihood most
a086,4.0150888032011256e-07,deny,debt_to_income,-11.787678370419368,debt_to_income decreased approval likelihood most
a087,0.9999994764034189,approve,debt_to_income,12.489827080231883,debt_to_income increased approval likelihood most
a088,5.268664085613035e-07,deny,debt_to_income,-13.535650581578006,debt_to_income decreased approval likelihood most
a089,2.3438853134621523e-05,deny,debt_to_income,-12.19400067796176,debt_to_income decreased approval likelihood most
a090,2.147107437213509e-05,deny,debt_to_income,-12.191254544298324,debt_to_income decreased approval likelihood most
a091,3.520558870939889e-05,deny,debt_to_income,-12.847100273631183,debt_to_income decreased approval likelihood most
a092,0.9999992865090582,approve,debt_to_income,13.745677010842535,debt_to_income increased approval likelihood most
a093,1.5738413896527e-07,deny,debt_to_income,-12.62105449142666,debt_to_income decreased approval likelihood most
a094,1.474579850746789e-07,deny,debt_to_income,-12.11668104661886,debt_to_income decreased approval likelihood most
a095,2.3226989132060833e-07,deny,debt_to_income,-13.71390015760774,debt_to_income decreased approval likelihood most
a096,0.9999994620964687,approve,debt_to_income,12.474311828796122,debt_to_income increased approval likelihood most
a097,0.9882645601397282,approve,num_delinquencies,3.803263528840561,num_delinquencies increased approval likelihood most
a098,7.709955299607398e-05,deny,debt_to_income,-12.493109376051429,debt_to_income decreased approval likelihood most
a099,0.9999991558979657,approve,debt_to_income,12.047285364311845,debt_to_income increased approval likelihood most
a100,5.877957028387381e-07,deny,debt_to_income,-12.508533397568579,debt_to_income decreased approval likelihood most
a101,1.690665557249098e-07,deny,debt_to_income,-12.578502389679027,debt_to_income decreased approval likelihood most
a102,0.9995030129726714,approve,debt_to_income,12.635396144978404,debt_to_income increased approval likelihood most
a103,0.9999992114102382,approve,debt_to_income,13.568927667142303,debt_to_income increased approval likelihood most
a104,0.9999940223869925,approve,debt_to_income,9.29203974034878,debt_to_income increased approval likelihood most
a105,3.6013190975178756e-07,deny,debt_to_income,-13.586254919584595,debt_to_income decreased approval likelihood most
a106,4.284377956173932e-05,deny,debt_to_income,-12.000738066086964,debt_to_income decreased approval likelihood most
a107,0.9999997435211444,approve,debt_to_income,12.300691649119857,debt_to_income increased approval likelihood most
a108,2.3286125850609117e-07,deny,debt_to_income,-12.445237180281566,debt_to_income decreased approval likelihood most
a109,0.9995002698783186,approve,num_delinquencies,3.929810664471652,num_delinquencies increased approval likelihood most
a110,0.0007392620905537567,deny,num_delinquencies,-3.8821475254095024,num_delinquencies decreased approval likelihood most
a111,0.9999799481127377,approve,debt_to_income,9.007757946120988,debt_to_income increased approval likelihood most
a112,0.9999995783603531,approve,debt_to_income,12.242585379193194,debt_to_income increased approval likelihood most
a113,0.9995593096181246,approve,num_delinquencies,3.797076937675995,num_delinquencies increased approval likelihood most
a114,5.828017860928675e-07,deny,debt_to_income,-12.228556044540692,debt_to_income decreased approval likelihood most
a115,2.5812230822215037e-07,deny,debt_to_income,-12.674472128446457,debt_to_income decreased approval likelihood most
a116,0.980546812632141,approve,debt_to_income,7.441381233944934,debt_to_income increased approval likelihood most
a117,2.3769570489409907e-07,deny,debt_to_income,-11.623056375393912,debt_to_income decreased approval likelihood most
a118,0.9999757662999891,approve,debt_to_income,7.953428860482017,debt_to_income increased approval likelihood most
a119,0.9999234364385309,approve,debt_to_income,12.92602460872498,debt_to_income increased approval likelihood most
a120,0.9999994043605926,approve,debt_to_income,12.195190825196553,debt_to_income increased approval likelihood most
a121,0.9999984368097425,approve,debt_to_income,9.40034224949758,debt_to_income increased approval likelihood most
a122,0.9999985705344875,approve,debt_to_income,13.429331941359905,debt_to_income increased approval likelihood most
a123,0.9999962792116462,approve,debt_to_income,9.400527007672283,debt_to_income increased approval likelihood most
a124,3.015237739746159e-05,deny,debt_to_income,-12.496534058929523,debt_to_income decreased approval likelihood most
