application_id,score,decision,top_feature,shap,explanation,proposed_loan_option,proposed_consolidation_loan
APP_0002,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"60 months @ 7.89% APR, requested=$15,505",
APP_0003,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"72 months @ 6.68% APR, requested=$42,138",
APP_0005,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"72 months @ 9.46% APR, requested=$9,196",
APP_0006,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"36 months @ 8.54% APR, requested=$88,524",
APP_0007,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"72 months @ 8.0% APR, requested=$70,027",
APP_0008,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"36 months @ 9.2% APR, requested=$31,971",
APP_0011,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"60 months @ 8.35% APR, requested=$9,105",
APP_0012,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"72 months @ 7.78% APR, requested=$15,109",
APP_0014,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"48 months @ 6.54% APR, requested=$99,914",
APP_0016,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"36 months @ 6.9% APR, requested=$68,240",
APP_0019,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"72 months @ 6.63% APR, requested=$64,214",
APP_0020,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"36 months @ 8.25% APR, requested=$13,591",
APP_0021,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"60 months @ 8.32% APR, requested=$69,669",
APP_0022,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"60 months @ 8.06% APR, requested=$90,218",
APP_0024,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"48 months @ 8.98% APR, requested=$7,754",
APP_0026,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"72 months @ 8.1% APR, requested=$27,878",
APP_0027,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"48 months @ 7.03% APR, requested=$48,062",
APP_0029,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"36 months @ 8.75% APR, requested=$86,162",
APP_0030,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"36 months @ 9.11% APR, requested=$78,792",
APP_0034,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"36 months @ 8.07% APR, requested=$91,510",
APP_0035,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"60 months @ 7.72% APR, requested=$32,446",
APP_0037,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"72 months @ 8.98% APR, requested=$91,396",
APP_0038,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"36 months @ 7.08% APR, requested=$8,435",
APP_0039,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"72 months @ 6.57% APR, requested=$5,519",
APP_0040,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"60 months @ 7.12% APR, requested=$5,515",
APP_0041,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"72 months @ 7.19% APR, requested=$19,850",
APP_0043,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"48 months @ 6.94% APR, requested=$82,898",
APP_0044,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"48 months @ 7.46% APR, requested=$62,562",
APP_0045,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"60 months @ 7.2% APR, requested=$98,104",
APP_0046,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"72 months @ 7.26% APR, requested=$81,140",
APP_0047,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"60 months @ 6.91% APR, requested=$96,502",
APP_0049,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"72 months @ 7.25% APR, requested=$32,340",
APP_0051,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"36 months @ 9.19% APR, requested=$28,263",
APP_0053,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"36 months @ 7.51% APR, requested=$68,567",
APP_0054,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"48 months @ 6.78% APR, requested=$81,091",
APP_0056,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"48 months @ 8.31% APR, requested=$93,140",
APP_0062,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"72 months @ 8.53% APR, requested=$84,608",
APP_0063,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"48 months @ 6.64% APR, requested=$47,422",
APP_0064,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"60 months @ 8.6% APR, requested=$8,814",
APP_0065,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"72 months @ 7.01% APR, requested=$48,338",
APP_0066,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"60 months @ 9.25% APR, requested=$24,169",
APP_0067,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"60 months @ 9.01% APR, requested=$15,804",
APP_0068,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"48 months @ 7.79% APR, requested=$16,867",
APP_0069,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"48 months @ 6.61% APR, requested=$71,250",
APP_0070,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"60 months @ 7.21% APR, requested=$52,930",
APP_0073,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"72 months @ 7.95% APR, requested=$57,085",
APP_0078,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"36 months @ 8.22% APR, requested=$19,745",
APP_0079,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"72 months @ 7.0% APR, requested=$82,266",
APP_0081,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"60 months @ 8.2% APR, requested=$10,037",
APP_0083,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"60 months @ 8.56% APR, requested=$6,496",
APP_0084,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"48 months @ 7.2% APR, requested=$30,722",
APP_0086,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"72 months @ 8.56% APR, requested=$72,440",
APP_0088,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"72 months @ 7.68% APR, requested=$98,119",
APP_0089,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"36 months @ 6.65% APR, requested=$76,195",
APP_0090,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"72 months @ 8.47% APR, requested=$63,096",
APP_0092,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"60 months @ 8.32% APR, requested=$10,177",
