application_id,score,decision,top_feature,shap,explanation,proposed_loan_option,proposed_consolidation_loan
APP_0001,0.9998443558060366,deny,DTI,2.5113449149067053,DTI increased approval likelihood most,,"{'consolidate_amount': 63480.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0002,0.0005264681281617536,deny,DTI,-6.715836792206585,DTI decreased approval likelihood most,,"{'consolidate_amount': 57463.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0003,0.9999657806248463,approve,DTI,1.9602777487504637,DTI increased approval likelihood most,"{'term_months': 60, 'apr_pct': 12.0, 'note': 'Standard offer'}",
APP_0004,0.0009647555368822332,deny,income,-9.97770533852421,income decreased approval likelihood most,,"{'consolidate_amount': 106634.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0005,0.0023008098789775023,deny,DTI,-8.358044214662055,DTI decreased approval likelihood most,,"{'consolidate_amount': 44190.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0006,0.0003508398979813441,deny,DTI,-7.532443948668614,DTI decreased approval likelihood most,,"{'consolidate_amount': 127240.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0007,4.792297783298828e-05,deny,DTI,-7.950684082133258,DTI decreased approval likelihood most,,"{'consolidate_amount': 100272.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0008,0.9999210724778714,approve,credit_score,2.046848872830026,credit_score increased approval likelihood most,"{'term_months': 24, 'apr_pct': 12.0, 'note': 'Standard offer'}",
APP_0009,0.0015539816674998526,deny,income,-6.116350244428873,income decreased approval likelihood most,,"{'consolidate_amount': 84675.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0010,0.00015190645767957582,deny,LTV,-4.430809407423147,LTV decreased approval likelihood most,,"{'consolidate_amount': 104008.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
