application_id,score,decision,top_feature,shap,explanation
APP_0009,0.5,approve,age,0.0,age decreased approval likelihood most
APP_0011,0.5,approve,age,0.0,age decreased approval likelihood most
APP_0062,0.5,approve,age,0.0,age decreased approval likelihood most
APP_0066,0.5,approve,age,0.0,age decreased approval likelihood most
APP_0070,0.5,approve,age,0.0,age decreased approval likelihood most
APP_0072,0.5,approve,age,0.0,age decreased approval likelihood most
APP_0088,0.5,approve,age,0.0,age decreased approval likelihood most
APP_0095,0.5,approve,age,0.0,age decreased approval likelihood most
APP_0115,0.5,approve,age,0.0,age decreased approval likelihood most
APP_0125,0.5,approve,age,0.0,age decreased approval likelihood most
APP_0129,0.5,approve,age,0.0,age decreased approval likelihood most
APP_0142,0.5,approve,age,0.0,age decreased approval likelihood most
APP_0149,0.5,approve,age,0.0,age decreased approval likelihood most
APP_0151,0.5,approve,age,0.0,age decreased approval likelihood most
APP_0165,0.5,approve,age,0.0,age decreased approval likelihood most
APP_0171,0.5,approve,age,0.0,age decreased approval likelihood most
APP_0172,0.5,approve,age,0.0,age decreased approval likelihood most
APP_0185,0.5,approve,age,0.0,age decreased approval likelihood most
APP_0186,0.5,approve,age,0.0,age decreased approval likelihood most
APP_0188,0.5,approve,age,0.0,age decreased approval likelihood most
APP_0196,0.5,approve,age,0.0,age decreased approval likelihood most
