application_id,score,decision,top_feature,shap,explanation
APP_0009,0.00014178401315103982,approve,debt_to_income,-11.931102767618686,debt_to_income decreased approval likelihood most
APP_0011,0.00014178401315103982,approve,debt_to_income,-11.934133067245183,debt_to_income decreased approval likelihood most
APP_0062,6.911875603815425e-07,deny,debt_to_income,-12.0789343206413,debt_to_income decreased approval likelihood most
APP_0066,0.00013376086825228563,deny,debt_to_income,-11.99933357886163,debt_to_income decreased approval likelihood most
APP_0070,0.00014178401315103982,approve,debt_to_income,-11.931102767618686,debt_to_income decreased approval likelihood most
APP_0072,0.9985134515841919,approve,num_delinquencies,3.7277298349229793,num_delinquencies increased approval likelihood most
APP_0088,9.773024488205176e-05,deny,debt_to_income,-12.302345111865167,debt_to_income decreased approval likelihood most
APP_0095,9.215693435780206e-05,deny,debt_to_income,-12.371005246914176,debt_to_income decreased approval likelihood most
APP_0115,0.009965434938561496,approve,num_delinquencies,-4.717762885222514,num_delinquencies decreased approval likelihood most
APP_0125,0.9985134515841919,approve,num_delinquencies,3.7277298349229793,num_delinquencies increased approval likelihood most
APP_0129,0.00014178401315103982,approve,debt_to_income,-11.934133067245183,debt_to_income decreased approval likelihood most
APP_0142,9.219974471597608e-05,deny,debt_to_income,-12.370575923108113,debt_to_income decreased approval likelihood most
APP_0149,0.00013376086825228563,deny,debt_to_income,-11.99933357886163,debt_to_income decreased approval likelihood most
APP_0151,9.987241714632186e-07,deny,debt_to_income,-11.70972703703414,debt_to_income decreased approval likelihood most
APP_0165,0.009965434938561496,approve,num_delinquencies,-4.716814138947723,num_delinquencies decreased approval likelihood most
APP_0171,0.00011281856302740198,deny,debt_to_income,-12.161754711583109,debt_to_income decreased approval likelihood most
APP_0172,0.009965434938561496,approve,num_delinquencies,-4.716814138947723,num_delinquencies decreased approval likelihood most
APP_0185,9.987241714632186e-07,deny,debt_to_income,-11.708964170436325,debt_to_income decreased approval likelihood most
APP_0186,0.9990537310991723,approve,num_delinquencies,3.7572510224334708,num_delinquencies increased approval likelihood most
APP_0188,0.007176293311829498,approve,num_delinquencies,-4.69099838578412,num_delinquencies decreased approval likelihood most
APP_0196,0.00013376086825228563,deny,debt_to_income,-11.99933357886163,debt_to_income decreased approval likelihood most
