application_id,score,decision,top_feature,shap,explanation,proposed_loan_option,proposed_consolidation_loan
APP_0001,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"{'term_months': 36, 'apr': 14.0, 'est_monthly_payment': 1940.09}",
APP_0002,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"{'term_months': 48, 'apr': 14.0, 'est_monthly_payment': 423.7}",
APP_0003,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"{'term_months': 60, 'apr': 14.0, 'est_monthly_payment': 980.48}",
APP_0004,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"{'term_months': 48, 'apr': 14.0, 'est_monthly_payment': 2724.94}",
APP_0005,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"{'term_months': 36, 'apr': 14.0, 'est_monthly_payment': 314.3}",
APP_0006,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"{'term_months': 60, 'apr': 14.0, 'est_monthly_payment': 2059.8}",
APP_0007,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"{'term_months': 36, 'apr': 14.0, 'est_monthly_payment': 2393.36}",
APP_0008,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"{'term_months': 36, 'apr': 14.0, 'est_monthly_payment': 1092.69}",
APP_0009,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"{'term_months': 48, 'apr': 14.0, 'est_monthly_payment': 2156.28}",
APP_0010,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"{'term_months': 36, 'apr': 14.0, 'est_monthly_payment': 2888.18}",
APP_0011,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"{'term_months': 36, 'apr': 14.0, 'est_monthly_payment': 311.19}",
APP_0012,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"{'term_months': 36, 'apr': 14.0, 'est_monthly_payment': 516.39}",
APP_0013,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"{'term_months': 36, 'apr': 14.0, 'est_monthly_payment': 2332.49}",
APP_0014,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"{'term_months': 36, 'apr': 14.0, 'est_monthly_payment': 3414.82}",
APP_0015,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"{'term_months': 36, 'apr': 14.0, 'est_monthly_payment': 248.68}",
APP_0016,0.3333333333333333,approve,age,0.0,age decreased approval likelihood most,"{'term_months': 36, 'apr': 14.0, 'est_monthly_payment': 2332.28}",
