application_id,score,decision,top_feature,shap,explanation
a001,0.5,approve,age,0.0,age decreased approval likelihood most
a002,0.5,approve,age,0.0,age decreased approval likelihood most
a003,0.5,approve,age,0.0,age decreased approval likelihood most
a004,0.5,approve,age,0.0,age decreased approval likelihood most
a005,0.5,approve,age,0.0,age decreased approval likelihood most
a006,0.5,approve,age,0.0,age decreased approval likelihood most
a007,0.5,approve,age,0.0,age decreased approval likelihood most
a008,0.5,approve,age,0.0,age decreased approval likelihood most
a009,0.5,approve,age,0.0,age decreased approval likelihood most
a010,0.5,approve,age,0.0,age decreased approval likelihood most
a011,0.5,approve,age,0.0,age decreased approval likelihood most
a012,0.5,approve,age,0.0,age decreased approval likelihood most
a013,0.5,approve,age,0.0,age decreased approval likelihood most
a014,0.5,approve,age,0.0,age decreased approval likelihood most
a015,0.5,approve,age,0.0,age decreased approval likelihood most
a016,0.5,approve,age,0.0,age decreased approval likelihood most
a017,0.5,approve,age,0.0,age decreased approval likelihood most
a018,0.5,approve,age,0.0,age decreased approval likelihood most
a019,0.5,approve,age,0.0,age decreased approval likelihood most
a020,0.5,approve,age,0.0,age decreased approval likelihood most
a021,0.5,approve,age,0.0,age decreased approval likelihood most
a022,0.5,approve,age,0.0,age decreased approval likelihood most
a023,0.5,approve,age,0.0,age decreased approval likelihood most
a024,0.5,approve,age,0.0,age decreased approval likelihood most
a025,0.5,approve,age,0.0,age decreased approval likelihood most
a026,0.5,approve,age,0.0,age decreased approval likelihood most
a027,0.5,approve,age,0.0,age decreased approval likelihood most
a028,0.5,approve,age,0.0,age decreased approval likelihood most
a029,0.5,approve,age,0.0,age decreased approval likelihood most
a030,0.5,approve,age,0.0,age decreased approval likelihood most
a031,0.5,approve,age,0.0,age decreased approval likelihood most
a032,0.5,approve,age,0.0,age decreased approval likelihood most
a033,0.5,approve,age,0.0,age decreased approval likelihood most
a034,0.5,approve,age,0.0,age decreased approval likelihood most
a035,0.5,approve,age,0.0,age decreased approval likelihood most
a036,0.5,approve,age,0.0,age decreased approval likelihood most
a037,0.5,approve,age,0.0,age decreased approval likelihood most
a038,0.5,approve,age,0.0,age decreased approval likelihood most
a039,0.5,approve,age,0.0,age decreased approval likelihood most
a040,0.5,approve,age,0.0,age decreased approval likelihood most
a041,0.5,approve,age,0.0,age decreased approval likelihood most
a042,0.5,approve,age,0.0,age decreased approval likelihood most
a043,0.5,approve,age,0.0,age decreased approval likelihood most
a044,0.5,approve,age,0.0,age decreased approval likelihood most
a045,0.5,approve,age,0.0,age decreased approval likelihood most
a046,0.5,approve,age,0.0,age decreased approval likelihood most
a047,0.5,approve,age,0.0,age decreased approval likelihood most
a048,0.5,approve,age,0.0,age decreased approval likelihood most
a049,0.5,approve,age,0.0,age decreased approval likelihood most
a050,0.5,approve,age,0.0,age decreased approval likelihood most
a051,0.5,approve,age,0.0,age decreased approval likelihood most
a052,0.5,approve,age,0.0,age decreased approval likelihood most
a053,0.5,approve,age,0.0,age decreased approval likelihood most
a054,0.5,approve,age,0.0,age decreased approval likelihood most
a055,0.5,approve,age,0.0,age decreased approval likelihood most
a056,0.5,approve,age,0.0,age decreased approval likelihood most
a057,0.5,approve,age,0.0,age decreased approval likelihood most
a058,0.5,approve,age,0.0,age decreased approval likelihood most
a059,0.5,approve,age,0.0,age decreased approval likelihood most
a060,0.5,approve,age,0.0,age decreased approval likelihood most
a061,0.5,approve,age,0.0,age decreased approval likelihood most
a062,0.5,approve,age,0.0,age decreased approval likelihood most
a063,0.5,approve,age,0.0,age decreased approval likelihood most
a064,0.5,approve,age,0.0,age decreased approval likelihood most
a065,0.5,approve,age,0.0,age decreased approval likelihood most
a066,0.5,approve,age,0.0,age decreased approval likelihood most
a067,0.5,approve,age,0.0,age decreased approval likelihood most
a068,0.5,approve,age,0.0,age decreased approval likelihood most
a069,0.5,approve,age,0.0,age decreased approval likelihood most
a070,0.5,approve,age,0.0,age decreased approval likelihood most
a071,0.5,approve,age,0.0,age decreased approval likelihood most
a072,0.5,approve,age,0.0,age decreased approval likelihood most
a073,0.5,approve,age,0.0,age decreased approval likelihood most
a074,0.5,approve,age,0.0,age decreased approval likelihood most
a075,0.5,approve,age,0.0,age decreased approval likelihood most
a076,0.5,approve,age,0.0,age decreased approval likelihood most
a077,0.5,approve,age,0.0,age decreased approval likelihood most
a078,0.5,approve,age,0.0,age decreased approval likelihood most
a079,0.5,approve,age,0.0,age decreased approval likelihood most
a080,0.5,approve,age,0.0,age decreased approval likelihood most
a081,0.5,approve,age,0.0,age decreased approval likelihood most
a082,0.5,approve,age,0.0,age decreased approval likelihood most
a083,0.5,approve,age,0.0,age decreased approval likelihood most
a084,0.5,approve,age,0.0,age decreased approval likelihood most
a085,0.5,approve,age,0.0,age decreased approval likelihood most
a086,0.5,approve,age,0.0,age decreased approval likelihood most
a087,0.5,approve,age,0.0,age decreased approval likelihood most
a088,0.5,approve,age,0.0,age decreased approval likelihood most
a089,0.5,approve,age,0.0,age decreased approval likelihood most
a090,0.5,approve,age,0.0,age decreased approval likelihood most
a091,0.5,approve,age,0.0,age decreased approval likelihood most
a092,0.5,approve,age,0.0,age decreased approval likelihood most
a093,0.5,approve,age,0.0,age decreased approval likelihood most
a094,0.5,approve,age,0.0,age decreased approval likelihood most
a095,0.5,approve,age,0.0,age decreased approval likelihood most
a096,0.5,approve,age,0.0,age decreased approval likelihood most
a097,0.5,approve,age,0.0,age decreased approval likelihood most
a098,0.5,approve,age,0.0,age decreased approval likelihood most
a099,0.5,approve,age,0.0,age decreased approval likelihood most
a100,0.5,approve,age,0.0,age decreased approval likelihood most
a101,0.5,approve,age,0.0,age decreased approval likelihood most
a102,0.5,approve,age,0.0,age decreased approval likelihood most
a103,0.5,approve,age,0.0,age decreased approval likelihood most
a104,0.5,approve,age,0.0,age decreased approval likelihood most
a105,0.5,approve,age,0.0,age decreased approval likelihood most
a106,0.5,approve,age,0.0,age decreased approval likelihood most
a107,0.5,approve,age,0.0,age decreased approval likelihood most
a108,0.5,approve,age,0.0,age decreased approval likelihood most
a109,0.5,approve,age,0.0,age decreased approval likelihood most
a110,0.5,approve,age,0.0,age decreased approval likelihood most
a111,0.5,approve,age,0.0,age decreased approval likelihood most
a112,0.5,approve,age,0.0,age decreased approval likelihood most
a113,0.5,approve,age,0.0,age decreased approval likelihood most
a114,0.5,approve,age,0.0,age decreased approval likelihood most
a115,0.5,approve,age,0.0,age decreased approval likelihood most
a116,0.5,approve,age,0.0,age decreased approval likelihood most
a117,0.5,approve,age,0.0,age decreased approval likelihood most
a118,0.5,approve,age,0.0,age decreased approval likelihood most
a119,0.5,approve,age,0.0,age decreased approval likelihood most
a120,0.5,approve,age,0.0,age decreased approval likelihood most
a121,0.5,approve,age,0.0,age decreased approval likelihood most
a122,0.5,approve,age,0.0,age decreased approval likelihood most
a123,0.5,approve,age,0.0,age decreased approval likelihood most
a124,0.5,approve,age,0.0,age decreased approval likelihood most
a125,0.5,approve,age,0.0,age decreased approval likelihood most
a126,0.5,approve,age,0.0,age decreased approval likelihood most
a127,0.5,approve,age,0.0,age decreased approval likelihood most
a128,0.5,approve,age,0.0,age decreased approval likelihood most
a129,0.5,approve,age,0.0,age decreased approval likelihood most
a130,0.5,approve,age,0.0,age decreased approval likelihood most
