application_id,score,decision
a001,0.5,approve
a002,0.5,approve
a003,0.5,approve
a004,0.5,approve
a005,0.5,approve
a006,0.5,approve
a007,0.5,approve
a008,0.5,approve
a009,0.5,approve
a010,0.5,approve
a011,0.5,approve
a012,0.5,approve
a013,0.5,approve
a014,0.5,approve
a015,0.5,approve
a016,0.5,approve
a017,0.5,approve
a018,0.5,approve
a019,0.5,approve
a020,0.5,approve
a021,0.5,approve
a022,0.5,approve
a023,0.5,approve
a024,0.5,approve
a025,0.5,approve
a026,0.5,approve
a027,0.5,approve
a028,0.5,approve
a029,0.5,approve
a030,0.5,approve
a031,0.5,approve
a032,0.5,approve
a033,0.5,approve
a034,0.5,approve
a035,0.5,approve
a036,0.5,approve
a037,0.5,approve
a038,0.5,approve
a039,0.5,approve
a040,0.5,approve
a041,0.5,approve
a042,0.5,approve
a043,0.5,approve
a044,0.5,approve
a045,0.5,approve
a046,0.5,approve
a047,0.5,approve
a048,0.5,approve
a049,0.5,approve
a050,0.5,approve
a051,0.5,approve
a052,0.5,approve
a053,0.5,approve
a054,0.5,approve
a055,0.5,approve
a056,0.5,approve
a057,0.5,approve
a058,0.5,approve
a059,0.5,approve
a060,0.5,approve
a061,0.5,approve
a062,0.5,approve
a063,0.5,approve
a064,0.5,approve
a065,0.5,approve
a066,0.5,approve
a067,0.5,approve
a068,0.5,approve
a069,0.5,approve
a070,0.5,approve
a071,0.5,approve
a072,0.5,approve
a073,0.5,approve
a074,0.5,approve
a075,0.5,approve
a076,0.5,approve
a077,0.5,approve
a078,0.5,approve
a079,0.5,approve
a080,0.5,approve
a081,0.5,approve
a082,0.5,approve
a083,0.5,approve
a084,0.5,approve
a085,0.5,approve
a086,0.5,approve
a087,0.5,approve
a088,0.5,approve
a089,0.5,approve
a090,0.5,approve
a091,0.5,approve
a092,0.5,approve
a093,0.5,approve
a094,0.5,approve
a095,0.5,approve
a096,0.5,approve
a097,0.5,approve
a098,0.5,approve
a099,0.5,approve
a100,0.5,approve
a101,0.5,approve
a102,0.5,approve
a103,0.5,approve
a104,0.5,approve
a105,0.5,approve
a106,0.5,approve
a107,0.5,approve
a108,0.5,approve
a109,0.5,approve
a110,0.5,approve
a111,0.5,approve
a112,0.5,approve
a113,0.5,approve
a114,0.5,approve
a115,0.5,approve
a116,0.5,approve
a117,0.5,approve
a118,0.5,approve
a119,0.5,approve
a120,0.5,approve
a121,0.5,approve
a122,0.5,approve
a123,0.5,approve
a124,0.5,approve
a125,0.5,approve
a126,0.5,approve
a127,0.5,approve
a128,0.5,approve
a129,0.5,approve
a130,0.5,approve
a131,0.5,approve
a132,0.5,approve
a133,0.5,approve
a134,0.5,approve
a135,0.5,approve
a136,0.5,approve
a137,0.5,approve
a138,0.5,approve
a139,0.5,approve
a140,0.5,approve
a141,0.5,approve
a142,0.5,approve
a143,0.5,approve
a144,0.5,approve
a145,0.5,approve
a146,0.5,approve
a147,0.5,approve
a148,0.5,approve
a149,0.5,approve
a150,0.5,approve
a151,0.5,approve
a152,0.5,approve
a153,0.5,approve
a154,0.5,approve
a155,0.5,approve
a156,0.5,approve
a157,0.5,approve
a158,0.5,approve
a159,0.5,approve
a160,0.5,approve
a161,0.5,approve
a162,0.5,approve
a163,0.5,approve
a164,0.5,approve
a165,0.5,approve
a166,0.5,approve
a167,0.5,approve
a168,0.5,approve
a169,0.5,approve
a170,0.5,approve
a171,0.5,approve
a172,0.5,approve
a173,0.5,approve
a174,0.5,approve
a175,0.5,approve
a176,0.5,approve
a177,0.5,approve
a178,0.5,approve
a179,0.5,approve
a180,0.5,approve
a181,0.5,approve
a182,0.5,approve
a183,0.5,approve
a184,0.5,approve
a185,0.5,approve
a186,0.5,approve
a187,0.5,approve
a188,0.5,approve
a189,0.5,approve
a190,0.5,approve
a191,0.5,approve
a192,0.5,approve
a193,0.5,approve
a194,0.5,approve
a195,0.5,approve
a196,0.5,approve
a197,0.5,approve
a198,0.5,approve
a199,0.5,approve
a200,0.5,approve
