application_id,score,decision,top_feature,shap,explanation,proposed_loan_option,proposed_consolidation_loan
APP_0001,0.00648050829101075,deny,DTI,-5.388756998839938,DTI decreased approval likelihood most,,"{'consolidate_amount': 107452.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0002,0.9966819619786282,deny,DTI,1.8305169097866025,DTI increased approval likelihood most,,"{'consolidate_amount': 82107.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0003,0.999040520226368,approve,DTI,2.125440304108437,DTI increased approval likelihood most,"{'term_months': 48, 'apr_pct': 12.0, 'note': 'Standard offer'}",
APP_0005,0.0005114077887648469,deny,DTI,-3.161707482534514,DTI decreased approval likelihood most,,"{'consolidate_amount': 123368.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0006,0.9963764462766583,deny,DTI,1.8668859191267848,DTI increased approval likelihood most,,"{'consolidate_amount': 62377.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0007,0.9996622307800627,approve,DTI,2.0773407062461295,DTI increased approval likelihood most,"{'term_months': 48, 'apr_pct': 12.0, 'note': 'Standard offer'}",
APP_0008,0.9994905966879777,approve,DTI,2.141584886230084,DTI increased approval likelihood most,"{'term_months': 12, 'apr_pct': 12.0, 'note': 'Standard offer'}",
APP_0009,0.0037023674032368825,deny,DTI,-4.994438021259828,DTI decreased approval likelihood most,,"{'consolidate_amount': 136244.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0011,0.008628743885650715,deny,credit_score,-2.8568719769438906,credit_score decreased approval likelihood most,,"{'consolidate_amount': 109037.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0013,0.9829805756252538,deny,credit_score,3.1820131238029608,credit_score increased approval likelihood most,,"{'consolidate_amount': 87151.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0014,0.012557722179690202,deny,DTI,-6.051840939558523,DTI decreased approval likelihood most,,"{'consolidate_amount': 87675.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0017,0.0009970616011196792,deny,DTI,-5.154994748165038,DTI decreased approval likelihood most,,"{'consolidate_amount': 49426.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0018,0.0005534536216498804,deny,DTI,-4.206099651989713,DTI decreased approval likelihood most,,"{'consolidate_amount': 66623.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0019,0.9854628416209987,deny,credit_score,-1.5881117888946092,credit_score decreased approval likelihood most,,"{'consolidate_amount': 46785.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0021,0.0017253714643414712,deny,credit_score,-2.910056585260935,credit_score decreased approval likelihood most,,"{'consolidate_amount': 61338.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0022,0.9978698637257126,deny,credit_score,5.869464021145902,credit_score increased approval likelihood most,,"{'consolidate_amount': 83395.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0024,0.9924901923693132,deny,credit_score,4.699749897931886,credit_score increased approval likelihood most,,"{'consolidate_amount': 74588.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0025,0.9997098746736793,approve,credit_score,2.912403247473948,credit_score increased approval likelihood most,"{'term_months': 48, 'apr_pct': 12.0, 'note': 'Standard offer'}",
APP_0026,0.998656848786908,approve,credit_score,6.01234505619278,credit_score increased approval likelihood most,"{'term_months': 12, 'apr_pct': 12.0, 'note': 'Standard offer'}",
APP_0027,0.004098863048818008,deny,credit_score,-2.545211505078888,credit_score decreased approval likelihood most,,"{'consolidate_amount': 67827.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0030,0.9991464779645113,approve,credit_score,4.019042744258451,credit_score increased approval likelihood most,"{'term_months': 12, 'apr_pct': 12.0, 'note': 'Standard offer'}",
APP_0033,0.05012890174838379,deny,income,-3.36217832723898,income decreased approval likelihood most,,"{'consolidate_amount': 50754.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0034,0.99703374074275,deny,DTI,2.262799002418875,DTI increased approval likelihood most,,"{'consolidate_amount': 74953.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0036,0.9992209684443949,approve,DTI,1.9971636656482354,DTI increased approval likelihood most,"{'term_months': 60, 'apr_pct': 12.0, 'note': 'Standard offer'}",
APP_0037,0.9999164518461829,approve,credit_score,2.89705863899275,credit_score increased approval likelihood most,"{'term_months': 60, 'apr_pct': 12.0, 'note': 'Standard offer'}",
APP_0038,0.0029974597097192223,deny,credit_score,-2.815467843477963,credit_score decreased approval likelihood most,,"{'consolidate_amount': 35215.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
APP_0039,0.0006942293891586776,deny,DTI,-3.3188844872870793,DTI decreased approval likelihood most,,"{'consolidate_amount': 129709.0, 'term_months': 60, 'apr_pct': 15.0, 'note': 'Consolidate existing + requested'}"
