application_id,ai_decision,rule_reasons,customer_type,human_decision,human_rule_reasons
APP_0001,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0002,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0003,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0004,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0005,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}",non-bank,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0006,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}",bank,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0007,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0008,denied,"{""model_threshold"": false, ""ndi_value"": false, ""ndi_ratio"": false}",bank,denied,"{""model_threshold"": false, ""ndi_value"": false, ""ndi_ratio"": false}"
APP_0009,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",non-bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0010,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}",bank,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0011,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0012,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}",bank,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0013,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0014,denied,"{""model_threshold"": false, ""ndi_value"": false, ""ndi_ratio"": false}",bank,denied,"{""model_threshold"": false, ""ndi_value"": false, ""ndi_ratio"": false}"
APP_0015,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0016,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",non-bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0017,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0018,denied,"{""model_threshold"": false, ""ndi_value"": false, ""ndi_ratio"": false}",non-bank,denied,"{""model_threshold"": false, ""ndi_value"": false, ""ndi_ratio"": false}"
APP_0019,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0020,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}",bank,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0021,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
