decision,score,income,loan_amount,human_decision
approved,0.802718632207007,102035.0,81788.0,approved
approved,0.9870046131620724,122374.0,74987.0,approved
approved,0.9520933781651232,117380.0,58040.0,approved
denied,7.357927539129619e-05,41819.0,89208.0,approved
approved,0.9901146766463644,128256.0,17185.0,approved
denied,0.2125436970168758,92008.0,92500.0,approved
denied,0.0211577126243574,65385.0,85771.0,approved
denied,0.1967853450914883,89277.0,52845.0,approved
approved,0.9993276912105872,145872.0,74672.0,approved
approved,0.9935866303848316,132196.0,54426.0,approved
approved,0.9936020568053032,129212.0,30532.0,approved
denied,0.2401183694458678,82849.0,80987.0,approved
approved,0.9752190284755452,123017.0,28362.0,approved
denied,0.0534106227689081,73136.0,34872.0,approved
approved,0.930046749427246,110770.0,54332.0,approved
approved,0.6330353159386647,104945.0,84551.0,approved
denied,0.0019578198938652,56224.0,41472.0,approved
denied,0.0105391589259886,58307.0,51943.0,approved
denied,0.0001523464547295,32641.0,8958.0,approved
denied,0.0004543444809791,42471.0,16006.0,approved
denied,0.1458696246244069,79202.0,10314.0,approved
denied,0.2341079237057084,84734.0,11845.0,approved
denied,0.0025299546453133,45640.0,87509.0,approved
denied,0.0351750193929355,77111.0,84989.0,approved
approved,0.7728070981006752,100522.0,83079.0,approved
denied,0.0023023734221353,54071.0,10278.0,approved
denied,0.0342547013322529,67279.0,12376.0,approved
denied,0.0228995177564372,70938.0,31658.0,approved
denied,0.1521267951415697,88131.0,58703.0,approved
denied,0.0509431468105628,70799.0,36742.0,approved
approved,0.9683310855967716,117118.0,51318.0,approved
denied,0.0178608297567072,65936.0,21434.0,approved
denied,0.1040923836703575,79237.0,74423.0,approved
denied,0.080902454133628,72433.0,34819.0,approved
denied,0.001051415162751,47864.0,11321.0,approved
approved,0.9078293960662748,110717.0,75555.0,approved
denied,0.000117151910236,54430.0,90764.0,approved
denied,0.0182203540409964,62109.0,6394.0,approved
approved,0.9894595310848304,124093.0,46483.0,approved
