application_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,collateral_type,co_loaners,credit_score,existing_debt,assets_owned,DTI,LTV,CCR,ITI,CWI,session_flagged,created_at,employment_years,debt_to_income,credit_history_length,num_delinquencies,current_loans,requested_amount,loan_term_months
APP_0009,53,27245,20,78908,48,22242,land,0,656,5767,117889,0.2116718663974963,3.547702544735026,0.2818725604501408,0.0603382883696956,0.0,False,:58:00,20,0.2116718663974963,29,0,1,78908,48
APP_0011,24,146163,7,9105,36,105366,land,0,527,22530,189562,0.1541429773608905,0.0864130744262847,11.572322899504494,0.0017303740800314,2.318291750363401,False,:58:00,7,0.1541429773608905,25,0,2,9105,36
APP_0062,36,99505,25,84608,48,79558,car,0,798,36392,207062,0.3657303653082723,1.063475703260501,0.9403129727685212,0.0177143527122247,0.0,False,:58:00,25,0.3657303653082723,25,1,3,84608,48
APP_0066,22,125545,18,24169,24,28982,land,0,655,15916,38755,0.1267752598669789,0.833931405700061,1.1991393934378254,0.0080213602025146,0.1738934450850587,False,:58:00,18,0.1267752598669789,27,0,0,24169,24
APP_0070,42,123095,21,52930,12,144945,car,2,524,21238,132592,0.1725334091555288,0.3651729966539007,2.7384281126014978,0.0358327578940308,1.438491183762571,False,:58:00,21,0.1725334091555288,25,0,1,52930,12
APP_0072,55,27229,2,75792,12,156554,car,1,542,2570,61080,0.0943846634103311,0.4841268827369439,2.0655742030820923,0.2319585735603009,0.9650003405854748,False,:58:00,2,0.0943846634103311,27,0,0,75792,12
APP_0088,35,100388,28,98119,36,8864,car,0,408,37441,187040,0.3729629039327372,11.06938176895182,0.090339281892395,0.0271499360252424,0.0,False,:58:00,28,0.3729629039327372,27,0,1,98119,36
APP_0095,37,39216,15,5416,36,153852,land,0,802,13370,212831,0.340932272541811,0.0352026622988324,28.40694239290465,0.0038363026428055,1.9076003664492585,False,:58:00,15,0.340932272541811,25,0,0,5416,36
APP_0115,35,69732,4,87905,12,29994,deposit,0,723,4941,138355,0.0708569953536386,2.930752817230015,0.3412092599965833,0.1050510047905711,0.0,False,:58:00,4,0.0708569953536386,24,1,3,87905,12
APP_0125,45,99819,21,56066,36,94370,house,1,694,3258,275570,0.0326390767288789,0.5941082971283184,1.683194806121327,0.0156021287414782,0.6608959584235891,False,:58:00,21,0.0326390767288789,29,0,0,56066,36
APP_0129,41,97176,6,47054,48,110447,deposit,0,542,27657,242389,0.284607310447021,0.4260323956286687,2.3472393420325086,0.0100877960262434,0.9638051763682438,False,:58:00,6,0.284607310447021,25,0,3,47054,48
APP_0142,62,98892,9,17738,60,142569,deposit,0,814,37616,179578,0.380374550014153,0.1244169489861041,8.037490134174764,0.0029894565114306,1.6276006259533984,False,:58:00,9,0.380374550014153,25,0,0,17738,60
APP_0149,63,148052,16,79630,24,50142,car,0,687,15458,294744,0.1044092616107847,1.58808982489726,0.6296873037799745,0.0224104819018209,0.0,False,:58:00,16,0.1044092616107847,24,0,0,79630,24
APP_0151,27,117001,22,43074,12,74060,deposit,0,543,20579,241572,0.1758873855778995,0.5816095058060953,1.719366671309799,0.0306792249613323,0.5928391482212726,False,:58:00,22,0.1758873855778995,25,1,2,43074,12
APP_0165,35,143605,19,33373,48,177098,house,0,311,2196,242597,0.0152919466592387,0.1884436865464308,5.306625116111668,0.0048415503173207,2.397438112791806,False,:58:00,19,0.0152919466592387,28,1,1,33373,48
APP_0171,53,140727,12,14048,24,192768,land,1,357,42685,88569,0.3033177712876683,0.0728751660026556,13.7220956719808,0.0041593534524927,1.9377341869314613,False,:58:00,12,0.3033177712876683,25,0,3,14048,24
APP_0172,53,90469,3,59383,24,152376,deposit,0,564,6860,140803,0.0758270788889003,0.3897136031921012,2.5659868986073024,0.0273496077834788,1.4472426865076438,False,:58:00,3,0.0758270788889003,26,1,1,59383,24
APP_0185,53,125087,2,37556,36,66753,land,0,499,22724,30450,0.1816655607697028,0.5626114182134052,1.777425710938285,0.0083399731562291,0.6361942332039304,False,:58:00,2,0.1816655607697028,24,1,1,37556,36
APP_0186,28,137831,13,57168,24,109672,car,0,525,9615,119791,0.0697593429634837,0.5212634036034673,1.9184158970052845,0.0172820337942896,0.8543478074630019,False,:58:00,13,0.0697593429634837,26,0,1,57168,24
APP_0188,47,147446,24,45984,60,150525,house,0,420,11039,37445,0.0748680872997566,0.3054907822620807,3.2734211899790524,0.0051978351395576,1.927537922981493,False,:58:00,24,0.0748680872997566,29,1,0,45984,60
APP_0196,55,122374,9,74987,36,54343,land,2,304,28321,72216,0.231429878895842,1.3798833336400018,0.724698947817612,0.0170213625620176,0.0,False,:58:00,9,0.231429878895842,28,0,0,74987,36
